# F5 Opposition Table — Tagalog (tl)

| Term A | Term B | Transliteration A | Transliteration B | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
| makatotohanan | hindi makatotohanan | makatotohanan | hindi makatotohanan | realistic, plausible, true-to-life | unrealistic, implausible, not believable | Morphological negation of realism/plausibility using *hindi*. | morphological | [CORE] |
| walang dáyà | may dáyà (implied) | walang dáyà | (may dáyà) | no cheating, fair, honest | (has cheating, unfair) | Constructional opposition using existential predicates with *dáyà* (cheat/fraud). *Walang dáyà* is explicitly attested; *may dáyà* is the implied positive counterpart. | constructional | [CORE] for *walang dáyà*; [UNCERTAIN] for implied positive |
| sa lihim | lantaran | sa lihim | lantaran | in secret, secretly, covertly | openly, publicly, evidently | Lexical/constructional opposition between secretive manner (*sa lihim* - prepositional phrase) and open manner (*lantaran* - adverbial form). Contrasts modes of action regarding visibility. | lexical/constructional | [CORE] |
| lihiman | lantaran | lihiman | lantaran | secretly, in secret, covertly | openly, publicly, evidently | Lexical opposition between adverbial forms derived from *lihim* (secret) and *lantad* (exposed). Both use the *-an* suffix to create manner adverbs. | lexical | [CORE] |
| ilihim | ilantad | ilihim | ilantad | to hide, to keep secret, to conceal | to expose, to reveal, to make evident | Lexical opposition between verbal forms for concealing and revealing. Both use the *i-* prefix (patient voice) with contrasting roots. | lexical | [CORE] |
| paglilihim | paglalantad | paglilihim | paglalantad | hiding, concealment, secrecy | exposure, revelation, the act of exposing | Lexical opposition between nominalized forms for the acts of concealing and revealing. Both use the *pag-* nominalizing prefix with reduplication. | lexical | [CORE] |
| inililihim | inilalantad | inililihim | inilalantad | is being hidden, is being kept secret | is being exposed, is being revealed | Lexical opposition between progressive patient-focus verbal forms for concealing and revealing actions. Both use *i-* prefix with progressive reduplication. | lexical | [CORE] |
| totoo | linlang | totoo | linlang | true, real | deception, illusion, delusion, trick | Lexical opposition between reality/truth and deceptive appearances or illusions. *Linlang* emphasizes perceptual or representational deception. | lexical | [CORE] |
| tunay | gawâ-gawâ | tunay | gawâ-gawâ | genuine, authentic, true | made-up, fabricated, artificial, contrived | Lexical opposition between what is genuine/natural and what is artificially constructed. *Gawâ-gawâ* (reduplicated from *gawa* "make") emphasizes the fabricated nature. | lexical | [CORE] |
| tunay na kulay | (concealed character/false appearance - implied) | tunay na kulay | (not explicitly lexicalized) | true colors, real character | (hidden nature, false front) | Idiomatic expression *tunay na kulay* contrasts with implied concealed or false character. The opposition is conceptual rather than having a fixed lexical counterpart. | lexical (idiomatic) | [CORE] for *tunay na kulay*; [UNCERTAIN] for implied opposite |
| totoo lang | kunwari lang | totoo lang | kunwari lang | honestly, to be honest, truthfully | just pretending, only joking, not serious | Constructional opposition between discourse markers indicating honesty/seriousness vs. pretense/non-seriousness. Both use the particle *lang* (only/just) with contrasting bases. | constructional | [CORE] |
| totóhanán | kunwari | totóhanán | kunwari | seriously, in earnest, for real | pretend, feign, as if, supposedly | Lexical opposition between markers of seriousness/genuine intent and pretense/hypothetical scenarios. Used to distinguish serious from non-serious speech acts. | lexical | [CORE] |
| palabás lang | tunay | palabás lang | tunay | just for show, only pretense | genuine, authentic, true | Constructional/lexical opposition between mere outward show (*palabás lang*) and genuine nature (*tunay*). Contrasts superficial appearance with authentic reality. | constructional/lexical | [CORE] |
| gawâ-gawâ lang | totoo | gawâ-gawâ lang | totoo | just made-up, merely fabricated, only pretend | true, real | Constructional opposition between fabricated/artificial (*gawâ-gawâ lang*) and real/true (*totoo*). The *lang* particle emphasizes the dismissive "merely" sense. | constructional | [CORE] |
| kathang-isip lang | totoo | kathang-isip lang | totoo | just imaginary, merely fictional | true, real | Constructional opposition between imaginary/fictional (*kathang-isip lang*) and real (*totoo*). Emphasizes dismissal of unfounded beliefs or invented stories. | constructional | [CORE] |
| puro kasinungalingan | katotohanan | puro kasinungalingan | katotohanan | all lies, nothing but lies | truth, reality, the truth | Constructional/lexical opposition between emphatic falsehood (*puro kasinungalingan* - "pure lies") and truth (*katotohanan*). *Puro* intensifies the "all lies" meaning. | constructional/lexical | [CORE] |
| walang kasinungalingan | (may kasinungalingan - implied) | walang kasinungalingan | (may kasinungalingan) | no lies, without falsehood | (has lies, contains falsehood) | Constructional opposition using existential predicates with *kasinungalingan* (lie/falsehood). *Walang kasinungalingan* is explicitly attested; positive counterpart is implied. | constructional | [CORE] for *walang kasinungalingan*; [UNCERTAIN] for implied positive |
| mas totoo | mas mali (or less true - implied) | mas totoo | mas mali | more true, more real | more wrong | Constructional opposition using comparative *mas* with truth-domain terms. Creates scalar opposition on truth/correctness dimension. | constructional | [CORE] |
| pinakatotoo | pinakamali (or least true - implied) | pinakatotoo | pinakamali | most true, truest | most wrong | Constructional opposition using superlative *pinaka-* with truth-domain terms. Creates scalar opposition at extremes of truth/correctness dimension. | constructional | [CORE] |
| tama o mali | (no single contrasting construction) | tama o mali | — | right or wrong | — | Disjunctive construction presenting binary choice between correctness and incorrectness. This is a fixed expression rather than having a clear opposite construction. | constructional (internal opposition within single construction) | [CORE] |
| totoo o huwad | (no single contrasting construction) | totoo o huwad | — | genuine or fake, real or counterfeit | — | Disjunctive construction presenting binary choice between genuine and counterfeit. Internal opposition within single construction. | constructional (internal opposition within single construction) | [CORE] |
| totoo pero mali | (no fixed opposite, but implies "false but right" which is pragmatically odd) | totoo pero mali | — | true but wrong | — | Contrastive construction acknowledging truth while asserting moral or practical wrongness. Distinguishes factual truth from normative correctness. No clear opposite construction is pragmatically natural. | constructional (internal contrast) | [CORE] |
| sinungaling ka | tapat ka (or hindi ka sinungaling) | sinungaling ka | tapat ka | you're a liar, you're lying | you're honest, you're truthful | Constructional opposition using pronominal attribution with character terms. Contrasts dishonest vs. honest character. | constructional (based on lexical opposition) | [CORE] |
| lantád na | lihim pa (or hindi pa lantád) | lantád na | lihim pa | already exposed, now evident | still secret, not yet exposed | Constructional opposition using aspectual particles *na* (already) vs. *pa* (still) with concealment/revelation terms. Contrasts states of disclosure. | constructional | [CORE] for *lantád na*; [MARGINAL] for *lihim pa* (implied but not explicitly attested) |
