# F4 Construction Table — Tagalog (tl)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| **13. CONCESSIVE CONSTRUCTIONS** | Tama man, mali pa rin ang paraan. | tama man, mali pa rin ang paraan | "Even if correct, the method is still wrong." | Very common in argumentative and conversational contexts. *Naman* is more colloquial; *man* appears in more formal or literary registers. | [CORE] |
| **14. CONDITIONAL CONSTRUCTIONS** | Kung totoo ang sinabi mo, patawarin kita. | kung totoo ang sinabi mo, patawarin kita | "If what you said is true, I'll forgive you." | Standard conditional pattern, fully productive with all truth-domain predicates. Extremely common in reasoning and hypothetical discourse. | [CORE] |
| **14. CONDITIONAL CONSTRUCTIONS** | Kung mali ako, sabihin mo. | kung mali ako, sabihin mo | "If I'm wrong, tell me." | Standard conditional pattern, fully productive with all truth-domain predicates. Extremely common in reasoning and hypothetical discourse. | [CORE] |
| **15. INTERROGATIVE CONSTRUCTIONS** | Totoo ba ang balita? | totoo ba ang balita | "Is the news true?" / "Is it true, the news?" | Standard yes/no question formation, used constantly in everyday conversation. Fully productive with all truth-domain predicates. | [CORE] |
| **15. INTERROGATIVE CONSTRUCTIONS** | Tama ba ang sagot ko? | tama ba ang sagot ko | "Is my answer correct?" / "Am I right?" | Standard yes/no question formation, used constantly in everyday conversation. Fully productive with all truth-domain predicates. | [CORE] |
| **16. EMPHATIC AFFIRMATION CONSTRUCTIONS** | Tama nga ako! | tama nga ako | "I am right indeed!" / "I was correct after all!" | Very common in conversational contexts, especially when confirming something previously doubted or expressing vindication. Carries strong pragmatic force. | [CORE] |
| **16. EMPHATIC AFFIRMATION CONSTRUCTIONS** | Totoo nga ang sabi nila. | totoo nga ang sabi nila | "What they said is indeed true." / "Their statement is really true." | Very common in conversational contexts, especially when confirming something previously doubted or expressing vindication. Carries strong pragmatic force. | [CORE] |
| **17. CESSATION/SUFFICIENCY CONSTRUCTIONS** | Tama na yan! | tama na yan | "That's enough!" / "Stop that!" | Extremely common directive construction, but restricted to *tama*. Does not extend to other truth-domain terms (*totoo na*, *mali na* do not have this cessation meaning). | [CORE] |
| **17. CESSATION/SUFFICIENCY CONSTRUCTIONS** | Tama na, ayoko na. | tama na, ayoko na | "Enough, I don't want to anymore." / "Stop, I'm done." | Extremely common directive construction, but restricted to *tama*. Does not extend to other truth-domain terms (*totoo na*, *mali na* do not have this cessation meaning). | [CORE] |
| **17. CESSATION/SUFFICIENCY CONSTRUCTIONS (Polite)** | Tama na po | tama na po | "That's enough (polite)" / "Please stop" | Polite variant with addition of *po* | [CORE] |
| **18. PRONOMINAL ATTRIBUTION CONSTRUCTIONS** | Mali ka. | mali ka | "You're wrong." / "You are mistaken." | Extremely frequent in conversational disagreement/agreement. Most common with *tama* and *mali*; less common with *totoo* in this construction. | [CORE] |
| **18. PRONOMINAL ATTRIBUTION CONSTRUCTIONS** | Tama ako. | tama ako | "I'm right." / "I'm correct." | Extremely frequent in conversational disagreement/agreement. Most common with *tama* and *mali*; less common with *totoo* in this construction. | [CORE] |
