| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| *X-ā illai Y-ā* (with *acal/nakal* pair) | இது அசலா நகலா? | *itu acalā nakalā?* | "Is this the original or a copy?" | Attested with multiple truth-domain pairs (*acal/nakal*, *cariyā/illaiyā*, *niyāyamā/illaiyā*); the *illai* element may be omitted in the *acal/nakal* example as given, which represents a tighter binary form. | [CORE] |
| *tāṉ vellum* proverbial pattern | உண்மை தான் வெல்லும் | *uṇmai tāṉ vellum* | "Truth alone will prevail" | Fixed proverbial pattern; attested in speeches, proverbs, and popular culture. Restricted to moral assertion contexts; not a productive open syntactic pattern. | [CORE] |
| *tāṉ vellum* proverbial pattern | நியாயம் தான் வெல்லும் | *niyāyam tāṉ vellum* | "Justice alone will prevail" | Parallel to the *uṇmai* form; also attested with literary *mey* (*meyyē vellum*). The pattern is lexically restricted to a small set of moral-domain nominals. | [CORE] |
| *-āka* suffix (manner adverbial) | நேர்மையாக பேசு | *nērmayāka pēcu* | "Speak honestly / Speak with integrity" | Fully productive across all truth-domain nominals; no register restriction. Modifies verbs as a manner adverbial; distinct from the *-āṉa* adjectival (§3) which modifies nouns. Attested alternate: predicative use: *itu uṇmaiyāka irukku* ("this is genuinely the case"). | [CORE] |
| *-āka* suffix (manner adverbial) | தவறாக புரிந்துகொண்டேன் | *tavaṟāka purinthukōṇṭēṉ* | "I understood it wrongly / I misunderstood it" | Common across spoken and written registers; the *-āka* suffix applies without restriction to all attested truth-domain nominals. No alternant adverbial construction is identified. Predicative complement use (*-āka irukku*) is a related but distinct function. | [CORE] |
| *-aṟṟa* participial (prenominal) | நேர்மையற்ற நடத்தை | *nērmaiyaṟṟa naṭatai* | "dishonest conduct / conduct lacking integrity" | Productive prenominal modifier; slightly more formal or literary than *illāta* alternant. Both patterns are fully attested; *illāta* is marginally more common in spoken registers. Attested alternates: *nērmai illāta* (spoken register alternant); abstract nominal *nērmayiṉmai* (full nominal, not modifier). | [CORE] |
| *illāta* negative participial (prenominal) | ஆதாரமில்லாத குற்றச்சாட்டு | *ātāramillāta kuṟṟaccāṭṭu* | "an unfounded accusation / a baseless charge" | Slightly more common in spoken registers than *-aṟṟa*; both are fully productive prenominal modifiers. No restriction on truth-domain nominals to which *illāta* applies. Attested alternates: *ātāram aṟṟa* (*-aṟṟa* alternant); *nampakat-taṉmai illāta* (compound nominal base alternant). | [CORE] |
| Nominal + light verb *collu* | உண்மை சொல்லு | *uṇmai collu* | "Tell the truth" | Primary pattern for expressing truth-telling as a verbal action; light verb *collu* is the default verbal complement of *uṇmai* in this construction. | [CORE] |
| (no common expression identified) | (no common expression identified) | (no common expression identified) | *uṇmai* as subject of a motion verb other than *veḷippaṭu* and *teriya va* | No common attested idiomatic expression identified for this pattern. | (no common expression identified) |
| (no common expression identified) | (no common expression identified) | (no common expression identified) | *uṇmai* in a reciprocal or exchange construction (e.g., "exchange truths") | No common attested idiomatic expression identified for this pattern. | (no common expression identified) |
