# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Indonesian (id)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| tepat | tidak tepat | tepat / tidak tepat | accurate, precise, appropriate / not accurate, inappropriate | Precision/imprecision opposition. "Tepat" indicates accuracy or appropriateness; "tidak tepat" indicates inaccuracy or inappropriateness. Alternative hedged form "kurang tepat" (not quite right) also attested. | morphological | [CORE] |
| [TRUTH-TERM] | kurang + [TRUTH-TERM] | [varies] / kurang + [varies] | [X] / somewhat not [X], not quite [X] | Hedged negation construction. "Kurang" creates softened negative evaluation suggesting partial rather than complete failure to meet standard (e.g., kurang tepat, kurang pantas, kurang cocok). This is a politeness/mitigation strategy distinct from direct "tidak" negation. | constructional | [CORE] |
| benar atau salah | (binary evaluation frame) | benar atau salah | true or false | Constructional opposition presenting binary evaluative choice. The "X atau Y" frame with truth-domain terms creates explicit contrastive evaluation contexts (benar atau salah, asli atau palsu, sah atau tidak, jujur atau bohong). This is a formulaic construction for framing binary judgments. | constructional | [CORE] |
| akurat | tidak akurat | akurat / tidak akurat | accurate / inaccurate | Technical precision opposition. "Akurat" indicates accuracy especially in measurement and technical contexts; "tidak akurat" indicates inaccuracy. No single lexical antonym; negation is standard strategy. | morphological | [CORE] |
| wajar | tidak wajar | wajar / tidak wajar | reasonable, natural / unreasonable, unnatural | Naturalness/unnaturalness opposition. "Wajar" indicates conformity to norms or expectations; "tidak wajar" indicates deviation from normal or expected. No single lexical antonym attested. | morphological | [CORE] |
| pantas | tidak pantas | pantas / tidak pantas | appropriate, fitting, proper / inappropriate, improper | Propriety/impropriety opposition. "Pantas" indicates appropriateness or deservingness; "tidak pantas" indicates inappropriateness. Alternative hedged form "kurang pantas" also attested. | morphological | [CORE] |
| valid | tidak valid | valid / tidak valid | valid / invalid | Technical validity opposition in academic/formal contexts. "Valid" indicates logical or procedural validity; "tidak valid" indicates invalidity. Borrowed term with adapted Indonesian negation pattern. | morphological | [CORE] |
| faktual | tidak faktual | faktual / tidak faktual | factual / not factual, unfactual | Factual basis opposition. "Faktual" indicates basis in facts; "tidak faktual" indicates lack of factual basis. Borrowed term used in formal/academic contexts. | morphological | [CORE] |
| keliru | tidak keliru | keliru / tidak keliru | mistaken, erroneous / not mistaken, correct | Error/correctness opposition with emphasis on unintentional mistake. "Keliru" indicates error through misunderstanding; "tidak keliru" indicates absence of error. Softer than salah/benar opposition. | morphological | [CORE] |
| mirip | tidak mirip | mirip / tidak mirip | similar, resembling / not similar, dissimilar | Similarity/dissimilarity opposition. "Mirip" indicates resemblance; "tidak mirip" indicates lack of resemblance. No single lexical antonym for dissimilarity attested. | morphological | [CORE] |
| sungguh | tidak sungguh | sungguh / tidak sungguh | genuine, serious / not genuine, not serious | Genuineness/non-genuineness opposition. "Sungguh" indicates sincerity or reality; "tidak sungguh" indicates lack of seriousness or genuineness. Also appears in question form "sungguh atau tidak" (serious or not). | morphological | [CORE] |
| absah | tidak absah | absah / tidak absah | valid, legitimate / invalid, illegitimate | Formal variant of sah/batal opposition. "Absah" indicates validity or legitimacy; "tidak absah" indicates invalidity. More formal register than sah/tidak sah, often used in religious or highly formal contexts. | morphological | [CORE] |
| sejati | (no clear lexical opposite attested) | sejati | true, genuine, authentic | "Sejati" indicates essential or genuine nature (cinta sejati = true love, diri sejati = true self) but no clear lexical opposite is attested in the data. Negation "tidak sejati" is possible but not documented as common construction. | (no clear opposition identified) | [UNCERTAIN] |
| tulen | (no clear lexical opposite attested) | tulen | pure, genuine, unadulterated | "Tulen" indicates purity especially of materials (emas tulen = pure gold) but no clear lexical opposite is attested. The concept of impurity or adulteration would likely be expressed through negation or different lexical items not in this dataset. | (no clear opposition identified) | [UNCERTAIN] |
| dusta | (implied opposition to truth/honesty) | dusta | lie, falsehood | "Dusta" is literary/formal term for lies or falsehood, functionally similar to "bohong" but in elevated register. While it opposes truth/honesty conceptually, the data shows it primarily in negative contexts (pendusta = liar, berdusta = to lie) without a clear paired positive term in the same register. | lexical (partial) | [MARGINAL] |
| khilaf | (no clear opposition attested) | khilaf | error, mistake, lapse | "Khilaf" indicates unintentional error or lapse, especially in formal/religious contexts. No clear lexical opposite is attested. The term emphasizes the unintentional nature of error rather than contrasting with a positive term. | (no clear opposition identified) | [UNCERTAIN] |
| hakikat | (implied contrast with appearance/surface) | hakikat | essence, true nature, reality | "Hakikat" refers to essential nature or underlying reality, implicitly contrasting with surface appearance or superficial understanding. However, no explicit lexical opposite is attested in the data. The contrast is conceptual rather than lexically encoded. | (no clear opposition identified) | [UNCERTAIN] |
| sebenarnya | (contrastive with appearance/assumption) | sebenarnya | actually, in fact, in truth | "Sebenarnya" functions as discourse marker introducing actual state of affairs versus appearances or assumptions. The opposition is constructional/pragmatic rather than lexical—it contrasts reality with expectation in discourse context rather than having a lexical antonym. | constructional | [CORE] |
| ternyata | (evidential contrast with prior belief) | ternyata | it turns out, apparently, evidently | "Ternyata" marks discovered reality contrasting with prior belief or expectation. This is an evidential/epistemic opposition encoded constructionally through the grammaticalized ter-+nyata form, not through lexical pairing. | constructional | [CORE] |
| sama persis | tidak sama sekali | sama persis / tidak sama sekali | exactly the same, identical / not at all the same, completely different | Emphatic constructional opposition for identity/difference. "Sama persis" intensifies sameness to exact identity; "tidak sama sekali" intensifies difference to complete dissimilarity. Both are emphatic constructions rather than simple lexical items. | constructional | [CORE] |
| benar-benar | tidak...sama sekali | benar-benar / tidak...sama sekali | really, truly / not...at all | Emphatic affirmation versus emphatic negation construction. "Benar-benar" intensifies positive evaluation; "tidak...sama sekali" creates emphatic total negation. These function as intensification strategies in opposition. | constructional | [CORE] |
