# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Indonesian (id)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| sebenarnya | N/A (Latin script) | actually, in truth (se- + benar + -nya) | actually, in fact, really, truly | Adverbial form evaluating actual state of affairs versus appearances or assumptions. Used to introduce corrections or reveal true situations ("sebenarnya saya tidak setuju" = "actually I disagree"). Emphasizes reality versus perception. | [CORE] |
| sesungguhnya | N/A (Latin script) | truly, in reality (se- + sungguh + -nya) | truly, indeed, in reality, verily | More formal or literary variant of "sebenarnya," evaluating truth or reality. Common in religious texts and formal discourse. Used to emphasize genuine truth or reality of statements. | [CORE] |
| betul | N/A (Latin script) | correct, true | correct, right, true, accurate | Near-synonym of "benar," evaluating correctness or truth. Used interchangeably with "benar" in many contexts, though may be slightly more colloquial. Common in confirmations ("betul sekali" = "exactly right"). | [CORE] |
| cocok | N/A (Latin script) | suitable, matching | suitable, matching, fitting, appropriate | Evaluates fit, compatibility, or appropriateness between entities or for purposes. Used for matching ("cocok dengan" = "matches with"), suitability for purpose, or compatibility in relationships. Emphasizes proper fit. | [CORE] |
| pas | N/A (Latin script) | exact, fitting (from Dutch "pas") | exact, fitting, just right, precise | Evaluates exact fit, precision, or appropriateness. Used for physical fit ("pas ukurannya" = "the size fits exactly"), temporal precision, or exact amounts. More colloquial than "tepat." | [CORE] |
| valid | N/A (Latin script) | valid (from English/Dutch) | valid | Borrowed term evaluating logical or procedural validity, especially in academic, technical, or formal contexts. Used for valid arguments, valid data, or valid methods ("argumen valid" = "valid argument"). More technical register. | [CORE] |
| dusta | N/A (Latin script) | lie, falsehood (from Sanskrit) | lie, falsehood, deceit | More literary or formal term for lies or falsehood. Used in elevated register or religious contexts ("pendusta" = "liar"). Carries strong moral condemnation. Less common in everyday speech than "bohong." | [MARGINAL] |
| khilaf | N/A (Latin script) | error, mistake (from Arabic "khilāf") | error, mistake, lapse | Evaluates unintentional errors or lapses, especially in religious or formal contexts. Implies mistake without malicious intent ("saya khilaf" = "I made an error/lapse"). More formal than "keliru." | [MARGINAL] |
| tulen | N/A (Latin script) | pure, genuine | pure, genuine, authentic, unadulterated | Evaluates purity or genuineness, especially of materials or bloodlines. Used for pure gold ("emas tulen" = "pure gold"), purebred animals, or authentic heritage. Emphasizes unmixed or unadulterated quality. | [CORE] |
| faktual | N/A (Latin script) | factual (from English/Dutch) | factual, based on facts | Borrowed term evaluating basis in facts rather than opinion or fiction. Used in formal or academic contexts ("informasi faktual" = "factual information"). Emphasizes empirical or documentary basis. | [CORE] |
| wajar | N/A (Latin script) | reasonable, natural | reasonable, natural, proper, fair | Evaluates reasonableness, naturalness, or propriety of situations, actions, or expectations. Used for what is normal or expected ("itu wajar" = "that's natural/reasonable"). Implies conformity to norms or expectations. | [CORE] |
| pantas | N/A (Latin script) | appropriate, fitting | appropriate, fitting, proper, deserved | Evaluates appropriateness or deservingness of actions, treatment, or outcomes. Used for what is fitting ("pantas saja" = "no wonder/serves right") or proper behavior. Can imply moral deservingness. | [CORE] |
| kebenaran | N/A | ke- + benar + -an (nominalization) | truth, correctness, the truth | Abstract noun for truth as concept or property. Used in philosophical discourse ("mencari kebenaran" = "seeking truth"), religious contexts ("kebenaran Tuhan" = "God's truth"), and everyday speech ("katakan kebenaran" = "tell the truth"). | [CORE] |
| membenarkan | N/A | meN- + benar + -kan (causative verb) | to confirm, to verify, to justify, to validate | Transitive verb meaning to confirm something as true or to justify an action. Used in statements of confirmation ("dia membenarkan laporan itu" = "he confirmed that report") and justification contexts ("membenarkan tindakan" = "to justify an action"). | [CORE] |
| dibenarkan | N/A | di- + benar + -kan (passive voice) | to be confirmed, to be permitted, to be justified | Passive form indicating something is confirmed or permitted. Used in permissions ("tidak dibenarkan" = "not permitted") and validation contexts ("telah dibenarkan" = "has been confirmed"). | [CORE] |
| pembenaran | N/A | peN- + benar + -an (nominalization of action) | justification, validation, confirmation | Noun referring to act or process of justifying or validating. Common in formal discourse ("pembenaran atas tindakan" = "justification for action") and legal contexts ("pembenaran hukum" = "legal justification"). | [CORE] |
| sebenar-benarnya | N/A | se- + benar + reduplication + -nya (superlative/emphatic) | most truly, in absolute truth, as truthfully as possible | Emphatic form used in oaths, legal testimony, and solemn declarations. Common in legal formulas ("dengan sebenar-benarnya" = "most truthfully") and sworn statements. | [CORE] |
| sebenar | N/A | se- + benar (prefix indicating "as/truly") | as true, truly | Less common variant, appears in some fixed expressions and older or formal texts. Sometimes used as shortened form in compounds. | [MARGINAL] |
| benar-benar | N/A | benar + reduplication (intensification) | really, truly, genuinely, very | Adverbial intensifier used to emphasize reality or degree. Very common in everyday speech ("saya benar-benar lelah" = "I'm really tired") and to emphasize genuineness ("dia benar-benar jujur" = "he's truly honest"). | [CORE] |
| membenar | N/A | meN- + benar (intransitive verb) | to be correct, to turn out right | Less common intransitive form. Used when something proves correct or comes true ("ramalannya membenar" = "his prediction came true"). More common in formal or literary register. | [MARGINAL] |
| kebenar-benaran | N/A | ke- + benar + reduplication + -an | excessive correctness, overly serious | Rare form suggesting excessive emphasis on correctness or taking things too seriously. Limited usage in colloquial contexts. | [UNCERTAIN] |
| memperbenarkan | N/A | meN- + per- + benar + -kan (causative with per-) | to justify, to vindicate, to prove right | More formal variant of membenarkan with emphasis on proving or demonstrating correctness. Used in formal discourse ("memperbenarkan argumen" = "to vindicate an argument"). | [CORE] |
| terbenar | N/A | ter- + benar (accidental/superlative) | most correct, truest | Superlative form indicating highest degree of correctness. Used in comparisons ("yang terbenar" = "the most correct one") and philosophical contexts. | [MARGINAL] |
| paling benar | N/A | paling (most) + benar | most correct, most true | Analytic superlative construction, more common than terbenar in everyday speech. Used in comparisons and evaluations ("cara paling benar" = "the most correct way"). | [CORE] |
| kebenarannya | N/A | ke- + benar + -an + -nya (possessive/definite) | its truth, the truth of it | Definite form referring to the truth of a specific matter. Common in discourse ("kebenarannya masih diragukan" = "its truth is still doubted"). | [CORE] |
| yang benar | N/A | yang (relativizer) + benar | the correct one, the true one, what is right | Relative clause construction identifying correct item or truth. Very common in questions ("yang mana yang benar?" = "which one is correct?") and statements. | [CORE] |
| sungguh-sungguh | N/A | sungguh + reduplication (intensification) | seriously, earnestly, in earnest, with full effort | Intensified form emphasizing seriousness or earnestness of action or state. Very common in everyday speech ("belajar sungguh-sungguh" = "study seriously") and exhortations ("bekerja sungguh-sungguh" = "work earnestly"). | [CORE] |
| kesungguhan | N/A | ke- + sungguh + -an (nominalization) | seriousness, earnestness, sincerity | Abstract noun for quality of being serious or earnest. Used in evaluations of character or effort ("kesungguhan hatinya" = "his sincerity of heart") and formal assessments. | [CORE] |
| bersungguh-sungguh | N/A | ber- + sungguh + reduplication (stative verb) | to be serious, to be earnest, to act seriously | Verbal form indicating state or action of being serious. Used in descriptions of behavior ("dia bersungguh-sungguh dalam pekerjaannya" = "he is serious in his work"). | [CORE] |
| menyungguhkan | N/A | meN- + sungguh + -kan (causative verb) | to make serious, to take seriously, to actualize | Less common causative form meaning to make something serious or real. Used in formal contexts ("menyungguhkan niat" = "to make intention real/serious"). | [MARGINAL] |
| sesungguh-sungguhnya | N/A | se- + sungguh + reduplication + -nya (superlative/emphatic) | most truly, in absolute truth, most earnestly | Emphatic superlative form used in solemn declarations and formal statements. Similar usage to sebenar-benarnya in oaths and testimony. | [CORE] |
| sungguhpun | N/A | sungguh + pun (concessive particle) | although, even though, despite | Concessive conjunction, more literary or formal register. Used to introduce contrasting clauses ("sungguhpun demikian" = "even so/nevertheless"). Less common in colloquial speech. | [MARGINAL] |
| kesungguh-sungguhan | N/A | ke- + sungguh + reduplication + -an | excessive seriousness, overly earnest | Rare form suggesting excessive or exaggerated seriousness. Limited colloquial usage. | [UNCERTAIN] |
| tersungguh | N/A | ter- + sungguh (accidental/superlative) | most genuine, most real | Rare superlative form. Occasionally appears in literary or formal texts but not common in everyday usage. | [MARGINAL] |
| mengesahkan | N/A | meN- + sah + -kan (causative verb) | to validate, to legalize, to ratify, to authorize | Transitive verb meaning to make something legally valid or official. Very common in legal and administrative contexts ("mengesahkan dokumen" = "to validate documents," "mengesahkan undang-undang" = "to ratify a law"). | [CORE] |
| pengesahan | N/A | peN- + sah + -an (nominalization of action) | validation, legalization, ratification, authorization | Noun referring to act or process of validation. Common in legal and administrative discourse ("pengesahan kontrak" = "contract validation," "pengesahan pernikahan" = "marriage legalization"). | [CORE] |
| disahkan | N/A | di- + sah + -kan (passive voice) | to be validated, to be legalized, to be ratified | Passive form indicating something is made valid or legal. Standard in official announcements ("telah disahkan" = "has been validated/ratified"). | [CORE] |
| keabsahan | N/A | ke- + absah + -an (nominalization) | validity, legitimacy, legality | Abstract noun for quality of being valid or legitimate. Used in legal and formal contexts ("keabsahan dokumen" = "validity of documents," "mempertanyakan keabsahan" = "to question the legitimacy"). | [CORE] |
| kesahan | N/A | ke- + sah + -an (nominalization) | validity, legitimacy | Synonym of keabsahan, though keabsahan is more common. Used interchangeably in formal contexts ("kesahan hukum" = "legal validity"). | [CORE] |
| sahih | N/A | sahih (from Arabic ṣaḥīḥ, related root) | valid, authentic, sound (especially of hadith) | Related term from Arabic, primarily used in Islamic religious contexts to evaluate authenticity of hadith ("hadis sahih" = "authentic hadith"). Also used more broadly for valid or sound arguments. | [CORE] |
| mensahkan | N/A | meN- + sah + -kan (alternative form) | to validate, to legalize | Alternative form of mengesahkan, less common but still used. Same meaning and contexts as mengesahkan. | [MARGINAL] |
| tersah | N/A | ter- + sah (accidental passive) | accidentally validated, happened to be valid | Rare form suggesting accidental or unintentional validation. Very limited usage. | [UNCERTAIN] |
| sahkan | N/A | sah + -kan (imperative/bare causative) | validate!, legalize! (command form) | Imperative or bare causative form. Used in commands or instructions ("sahkan dokumen ini" = "validate this document"). | [CORE] |
| pengesah | N/A | peN- + sah (agent noun) | validator, authorizer, one who validates | Agent noun referring to person or entity that validates. Used in administrative contexts ("pengesah dokumen" = "document validator"). | [CORE] |
| sah-mengesahkan | N/A | sah + meN- + sah + -kan (compound) | mutual validation, to validate each other | Reciprocal form indicating mutual validation. Used in contexts where parties validate each other's positions or documents. | [MARGINAL] |
| kesahihan | N/A | ke- + sahih + -an (nominalization) | validity, authenticity, soundness | Abstract noun from sahih, particularly common in Islamic scholarship contexts ("kesahihan hadis" = "authenticity of hadith") but also used more broadly. | [CORE] |
| yang sah | N/A | yang (relativizer) + sah | the valid one, the legal one, the legitimate one | Relative clause construction identifying valid or legal item. Common in legal discourse ("dokumen yang sah" = "the valid document"). | [CORE] |
