# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Greek (el)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| ορθοδοξία (orthodoxía) | αίρεση (aíresi) [not in P1 but implied contrast] | orthodoxía vs. (implied heterodoxy) | orthodoxy vs. (implied heterodoxy) | (no clear opposition identified within provided data — ορθοδοξία "orthodoxy" present but no explicit heterodoxy term documented in P1-P4) | N/A | [UNCERTAIN] |
| ορθογραφία (orthografía) | ορθογραφικό λάθος (orthografikó láthos) | orthografía vs. orthografikó láthos | correct spelling/orthography vs. spelling error | Constructional opposition between correct spelling/orthography and spelling error, marking conformity versus deviation from standard written forms. | constructional | [CORE] |
| δικαιοσύνη (dikaiosýni) | αδικία (adikía) | dikaiosýni vs. adikía | justice/fairness vs. injustice/unfairness | Nominal opposition between justice/fairness and injustice/unfairness, derived from the adjectival opposition δίκαιος/άδικος. Fundamental moral concepts. | morphological | [CORE] |
| δικαιώνω (dikaióno) | αδικώ (adikó) | dikaióno vs. adikó | justify/vindicate vs. wrong/treat unjustly | Verbal opposition between justifying/vindicating and wronging/treating unjustly, marking actions that establish justice versus actions that violate it. | morphological | [CORE] |
| γνήσια υπογραφή (gnísια ypografí) | πλαστή υπογραφή (plastí ypografí) | gnísια ypografí vs. plastí ypografí | genuine signature vs. forged signature | Constructional opposition between genuine signature and forged signature, particularly important in legal and administrative document verification. | constructional | [CORE] |
| έγκυρο έγγραφο (énkyro éngrafo) | άκυρο έγγραφο (ákyro éngrafo) | énkyro éngrafo vs. ákyro éngrafo | valid document vs. invalid document | Constructional opposition between valid document and invalid document, marking legal force and proper authorization in administrative contexts. | constructional | [CORE] |
| αληθινή ιστορία (alithiní istoría) | ψευδοϊστορία (psevdoïstoría) | alithiní istoría vs. psevdoïstoría | true story/genuine history vs. false history/pseudohistory | Opposition between true story/genuine history and false history/pseudohistory, marking factual historical narrative versus fabricated or unsupported historical claims. | lexical | [CORE] |
| επιστήμη (epistími) [not in P1 but base of compound] | ψευδοεπιστήμη (psevdoepistími) | (epistími) vs. psevdoepistími | science vs. pseudoscience | Opposition between science and pseudoscience, with ψευδ- prefix marking false claim to scientific status. Base term επιστήμη not in P1 vocabulary but opposition clear from compound. | lexical | [CORE] |
| δημοκρατία (dimokratía) [not in P1 but base of compound] | ψευδοδημοκρατία (psevdodimokratía) | (dimokratía) vs. psevdodimokratía | democracy vs. pseudo-democracy | Opposition between democracy and pseudo-democracy, marking regimes that maintain democratic appearances without genuine democratic substance. Base term not in P1 but opposition clear. | lexical | [CORE] |
| πληροφορία (pliροforía) [not in P1 but base of compound] | ψευδοπληροφορία (psevdopliροforía) | (pliροforía) vs. psevdopliροforía | information vs. misinformation/false information | Opposition between information and misinformation/false information, particularly relevant in contemporary media and digital contexts. Base term not in P1 but opposition clear. | lexical | [CORE] |
| είδηση (éidisi) [not in P1 but base of compound] | ψευδοείδηση (psevdoéidisi) | (éidisi) vs. psevdoéidisi | news vs. fake news/false news | Opposition between news and fake news/false news, marking contemporary concern with fabricated news stories. Base term not in P1 but opposition clear from compound. | lexical | [CORE] |
| Δεν είναι αλήθεια (Den íne alítheia) | Είναι αλήθεια (Íne alítheia) | Den íne alítheia vs. Íne alítheia | It is not true/truth vs. It is true/truth | Constructional opposition through negation: "It is not true/truth" versus "It is true/truth," using standard preverbal negation particle δεν. | constructional | [CORE] |
| έχω λάθος (écho láthos) | έχω δίκιο (écho díkio) [δίκιο not in P1] | écho láthos vs. (écho díkio) | be wrong vs. (be right) | (no clear opposition identified within provided data — έχω λάθος "be wrong" present but contrasting έχω δίκιο "be right" not documented in P1-P4) | N/A | [UNCERTAIN] |
| ουσιαστική διαφορά (ousiastikí diaforá) | επιφανειακή διαφορά [not in P1] | ousiastikí diaforá vs. (implied superficial difference) | substantial difference vs. (implied superficial difference) | (no clear opposition identified within provided data — ουσιαστική διαφορά "substantial difference" present but no explicit term for superficial difference documented) | N/A | [UNCERTAIN] |
| ορθολογικός (orthologikós) | παράλογος [not in P1] | orthologikós vs. (implied irrational) | rational vs. (implied irrational) | (no clear opposition identified within provided data — ορθολογικός "rational" present but no explicit irrationality term documented in P1-P4) | N/A | [UNCERTAIN] |
