# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 8.2b | παραπλανούν το κοινό | paraplanούn to kinó | [CORE] | Present form of 8.2a with different object. |
| 8.2 | [NO COMMON DIRECT CAUSATIVE] | — | [GAP] | NO COMMON DIRECT CAUSATIVE EXISTS for making someone be wrong. Greek typically uses indirect constructions like παραπλανώ "mislead." |
| 9.1a | αυτό με κάνει βέβαιο | aftó me káni vévaio | [CORE] | Standard psychological causative. Object clitic (με, τον) obligatory. Adjective agrees with object. |
| 9.1b | τον έκανε βέβαιο | ton ékane vévaio | [CORE] | Aorist form of 9.1a with different object. |
| 9.1c | τον βεβαίωσα ότι είναι αλήθεια | ton vevaíosa óti íne alítheia | [CORE] | Different sense of βεβαιώνω (assure person vs. certify document). Takes person object + ότι-clause. |
| 9.1d | με βεβαίωσε | me vevaíose | [CORE] | Aorist form of 9.1c. |
| 9.2a | αυτό με κάνει να αμφιβάλλω | aftó me káni na amfivállo | [CORE] | Causative with να-clause (subjunctive). Verb αμφιβάλλω "doubt" in complement. |
| 9.2b | τον έκανε να αμφιβάλλει | ton ékane na amfivállei | [CORE] | Aorist form of 9.2a with different object. |
| 9.2 | [NO DIRECT ADJECTIVE CAUSATIVE] | — | [GAP] | NO DIRECT ADJECTIVE CAUSATIVE like *κάνω κάποιον αμφίβολο exists. Greek uses verbal complement (να αμφιβάλλω) instead. |
| 10.1a | μένει αληθινή η δήλωση | méni alithiní i dílosi | [MARGINAL] | Uncommon construction. Truth typically not described as "remaining" but as "being" or "continuing to be." |
| 10.1b | έμεινε αληθινό | émine alithinó | [MARGINAL] | Aorist form of 10.1a. |
| 10.1c | παραμένει αληθινή | paraméni alithiní | [MARGINAL] | More formal than μένω. Emphasizes continuation despite potential change. Uncommon with truth vocabulary. |
| 10.1d | παρέμεινε σωστή | parémine sostí | [MARGINAL] | Aorist form of 10.1c. |
| 10.2a | διατηρώ την ακρίβεια | diatιró tin akríveia | [CORE] | Active maintenance of correctness/accuracy. Common in technical and quality-control contexts. |
| 10.2b | διατήρησε την ορθότητα | diatírιse tin orthótita | [CORE] | Aorist form of 10.2a with different object. |
| 10.2c | κρατώ το κείμενο σωστό | krató to kímeno sostó | [MARGINAL] | Less common than διατηρώ. Emphasizes active effort to prevent errors. |
| 10.2d | το κράτησε σωστό | to krátιse sostó | [MARGINAL] | Aorist form of 10.2c. |
| 10.3a | διατηρώ την αυθεντικότητα | diatιró tin afthentikótita | [CORE] | Common in conservation, archival, and cultural heritage contexts. |
| 10.3b | διατήρησε τη γνησιότητα | diatírιse ti gnisiótita | [CORE] | Aorist form of 10.3a with different object. |
| 10.3c | διαφυλάσσω την αυθεντικότητα | diafylásso tin afthentikótita | [CORE] | More formal than διατηρώ. Emphasizes protective action against threats to authenticity. |
| 10.3d | διαφύλαξε | diafýlaxe | [CORE] | Aorist form of 10.3c. |
| 11.1a | τον αποτρέπω από το να πει ψέματα | ton apotrépo apó to na pi psémata | [MARGINAL] | Complex construction with από + article + να-clause. Uncommon; more natural to use indirect expressions. |
| 11.1b | τον απέτρεψε | ton apétrепse | [MARGINAL] | Aorist form of 11.1a. |
| 11.1c | τον εμποδίζω να πει ψέματα | ton empodízo na pi psémata | [MARGINAL] | General prevention verb + να-clause. Not specific to truth domain. |
| 11.1 | [NO SIMPLE DIRECT CONSTRUCTION] | — | [GAP] | NO SIMPLE DIRECT CONSTRUCTION for preventing lies exists. Greek typically uses complex periphrastic expressions. |
| 11.2a | αποφεύγω λάθη | apofévgo láthi | [CORE] | Standard construction for error avoidance. Common in instructional and quality-control contexts. |
| 11.2b | απέφυγε λάθη | apéfyge láthi | [CORE] | Aorist form of 11.2a. |
| 11.2c | προλαβαίνω το λάθος | prolaváno to láthos | [CORE] | Implies catching error before it causes problems. Common in proofreading and quality control. |
| 11.2d | πρόλαβε το λάθος | prólave to láthos | [CORE] | Aorist form of 11.2c. |
| 11.3a | διατηρώ το έγγραφο έγκυρο | diatιró to éngrafo énkyro | [MARGINAL] | Uncommon construction. More natural to say "maintain validity" (διατηρώ την εγκυρότητα). |
| 11.3b | το διατήρησε έγκυρο | to diatírιse énkyro | [MARGINAL] | Aorist form of 11.3a. |
| 12.1a | βγαίνει σιγά σιγά η αλήθεια | vgaíni sigá sigá i alítheia | [CORE] | Adverbial σιγά σιγά "slowly, gradually" modifies emergence. Common in narrative contexts. |
| 12.1b | βγήκε σιγά σιγά | vgíke sigá sigá | [CORE] | Aorist form of 12.1a. |
| 12.1c | αποκαλύπτεται σταδιακά η αλήθεια | apokalýptete stadiαká i alítheia | [CORE] | More formal than σιγά σιγά. σταδιακά "gradually, in stages" emphasizes step-by-step process. |
| 12.1d | αποκαλύφθηκε σταδιακά | apokalýfthike stadiαká | [CORE] | Aorist form of 12.1c. |
| 12.2a | χάνει σιγά σιγά την εγκυρότητά του | cháni sigá sigá tin enkyrótitá tou | [CORE] | Gradual loss construction with χάνω "lose" + adverbial. Common for documents, credentials, etc. |
| 12.2b | έχασε σιγά σιγά την εγκυρότητα | échase sigá sigá tin enkyrótita | [CORE] | Aorist form of 12.2a. |
| 13.1a | βγαίνει η αλήθεια | vgaíni i alítheia | [CORE] | Present imperfective: ongoing or habitual. |
| 13.1b | έβγαινε η αλήθεια | évgene i alítheia | [CORE] | Imperfect: ongoing in past. |
| 13.1c | βγήκε η αλήθεια | vgíke i alítheia | [CORE] | Aorist perfective: completed event. |
| 13.1d | έχει βγει η αλήθεια | échi vgi i alítheia | [CORE] | Perfect: completed with current relevance. |
| 13.2a | κάνω λάθος | káno láthos | [CORE] | Present imperfective: habitual. |
| 13.2b | έκανα λάθος | ékana láthos | [CORE] | Can be imperfect (ongoing) or aorist (single event) depending on context. |
| 13.2c | έχω κάνει λάθος | écho káni láthos | [CORE] | Perfect form. |
| 13.3a | διορθώνω το λάθος | diorthόno to láthos | [CORE] | Present imperfective: ongoing or habitual. |
| 13.3b | διόρθωνα λάθη | diόrthona láthi | [CORE] | Imperfect form. |
| 13.3c | διόρθωσα το λάθος | diόrthosa to láthos | [CORE] | Aorist perfective: completed. |
| 13.3d | έχω διορθώσει το λάθος | écho diorthόsi to láthos | [CORE] | Perfect form. |
| 14.1a | μπορεί να βγει η αλήθεια | borí na vgi i alítheia | [CORE] | Modal μπορώ/μπορεί + να-clause. Expresses possibility of truth emergence. |
| 14.1b | μπορούσε να βγει | boroúse na vgi | [CORE] | Past form of 14.1a. |
| 14.1c | πρέπει να βγει η αλήθεια | prépi na vgi i alítheia | [CORE] | Deontic modal πρέπει + να-clause. Expresses necessity or obligation for truth to emerge. |
| 14.1d | έπρεπε να βγει | éprepe na vgi | [CORE] | Past form of 14.1c. |
| 14.2a | πρέπει να διορθωθεί το λάθος | prépi na diorthothí to láthos | [CORE] | Deontic necessity with passive subjunctive. Common in prescriptive contexts. |
| 14.2b | έπρεπε να διορθωθεί | éprepe na diorthothí | [CORE] | Past form of 14.2a. |
| 14.3a | μπορώ να βεβαιώσω την πληροφορία | boró na vevaióso tin pliροforía | [CORE] | Dynamic modal expressing ability. Common in epistemic and administrative contexts. |
| 14.3b | δεν μπορούσε να βεβαιώσει | den boroúse na vevaiósi | [CORE] | Negative past form of 14.3a. |
