# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Greek (el)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
| ορθός (orthós) — correct, right, straight | ορθότητα | orthótita | ορθ- + -ότητα (abstract noun suffix) | correctness, rightness, accuracy | Abstract noun for the quality of being correct. Used in formal and evaluative contexts. | [CORE] |
| ορθός (orthós) — correct, right, straight | ορθώνω | orthóno | ορθ- + -ώνω (causative verb suffix) | to straighten, to erect, to raise upright | Verbal derivation for making something straight or upright. Common in physical and metaphorical contexts. | [CORE] |
| ορθός (orthós) — correct, right, straight | ορθιος | orthios | ορθ- + -ιος (adjectival suffix) | upright, vertical, standing | Adjectival form emphasizing vertical or standing position. Common in physical descriptions. | [CORE] |
| γνήσιος (gnísios) — genuine, authentic | γνησιότητα | gnisiótita | γνησι- + -ότητα (abstract noun suffix) | genuineness, authenticity, legitimacy | Abstract noun for the quality of being genuine or authentic. Used in legal, commercial, and evaluative contexts. | [CORE] |
| γνήσιος (gnísios) — genuine, authentic | γνησίως | gnisíos | γνησι- + -ως (adverbial suffix) | genuinely, authentically, legitimately | Adverbial form marking genuine manner. More formal register. | [CORE] |
| πλαστός (plastós) — fake, forged, counterfeit | πλαστότητα | plastótita | πλαστ- + -ότητα (abstract noun suffix) | fakeness, artificiality, counterfeit nature | Abstract noun for the quality of being fake or artificial. Used in evaluative and critical discourse. | [CORE] |
| πλαστός (plastós) — fake, forged, counterfeit | πλαστώς | plastós | πλαστ- + -ώς (adverbial suffix) | falsely, artificially, in a counterfeit manner | Adverbial form marking false or artificial manner. Formal register. | [MARGINAL] |
| κίβδηλος (kívdilos) — counterfeit, spurious | κιβδηλότητα | kivdilótita | κιβδηλ- + -ότητα (abstract noun suffix) | spuriousness, counterfeit nature, adulteratedness | Abstract noun for the quality of being counterfeit or adulterated. Literary or formal register. | [MARGINAL] |
| αυθεντικός (afthentikós) — authentic, genuine | αυθεντικότητα | afthentikótita | αυθεντικ- + -ότητα (abstract noun suffix) | authenticity, genuineness | Abstract noun for the quality of being authentic. Common in discussions of art, documents, and provenance. | [CORE] |
| αυθεντικός (afthentikós) — authentic, genuine | αυθεντικά | afthentiká | αυθεντικ- + -ά (adverbial suffix) | authentically, genuinely | Adverbial form marking authentic manner. Common in evaluative discourse. | [CORE] |
| ακριβής (akrivís) — accurate, exact, precise | ακριβώς | akrivós | ακριβ- + -ώς (adverbial suffix) | exactly, precisely, accurately | Adverbial derivation marking exact manner. Extremely common across all registers, also used as discourse marker for agreement. | [CORE] |
| ακριβής (akrivís) — accurate, exact, precise | ακρίβεια | akríveia | ακριβ- + -εια (abstract noun suffix) | accuracy, precision, exactness | Abstract noun for the quality of being accurate or precise. Common in technical, scientific, and evaluative contexts. | [CORE] |
| εικονικός (eikonikós) — virtual, notional, apparent | εικονικά | eikoniká | εικονικ- + -ά (adverbial suffix) | virtually, apparently, in appearance | Adverbial form marking virtual or apparent manner. Common in modern contexts discussing virtual reality and appearances. | [CORE] |
| εικονικός (eikonikós) — virtual, notional, apparent | εικονικότητα | eikonikótita | εικονικ- + -ότητα (abstract noun suffix) | virtuality, apparent nature | Abstract noun for the quality of being virtual or apparent. Used in philosophical and technical discourse. | [CORE] |
| πραγματικός (pragmatikós) — real, actual, true | πραγματικά | pragmatiká | πραγματικ- + -ά (adverbial suffix) | really, actually, truly | Adverbial derivation marking real or actual manner. Extremely common across all registers, also used as discourse marker. | [CORE] |
| πραγματικός (pragmatikós) — real, actual, true | πραγματικότητα | pragmatikótita | πραγματικ- + -ότητα (abstract noun suffix) | reality, actuality | Abstract noun for reality or actual state of affairs. Very common across all contexts. | [CORE] |
| δίκαιος (díkaios) — just, fair, righteous | δικαιοσύνη | dikaiosýni | δικαι- + -οσύνη (abstract noun suffix) | justice, fairness, righteousness | Abstract noun for justice or fairness. Fundamental term in legal, moral, and political discourse. | [CORE] |
| δίκαιος (díkaios) — just, fair, righteous | δικαίως | dikaíos | δικαι- + -ως (adverbial suffix) | justly, fairly, righteously | Adverbial form marking just manner. Common in moral and legal evaluation. | [CORE] |
| δίκαιος (díkaios) — just, fair, righteous | δικαιώνω | dikaióno | δικαι- + -ώνω (causative verb suffix) | to justify, to vindicate, to prove right | Verbal derivation for making just or proving right. Common in legal, moral, and argumentative contexts. | [CORE] |
| δίκαιος (díkaios) — just, fair, righteous | δικαίωμα | dikaíoma | δικαι- + -ωμα (result noun suffix) | right, entitlement, claim | Nominal form for a right or entitlement. Fundamental term in legal and political discourse. | [CORE] |
| άδικος (ádikos) — unjust, unfair | αδικία | adikía | αδικ- + -ία (abstract noun suffix) | injustice, unfairness, wrong | Abstract noun for injustice or unfair treatment. Common in moral, legal, and political discourse. | [CORE] |
| άδικος (ádikos) — unjust, unfair | αδίκως | ádikos | αδικ- + -ως (adverbial suffix) | unjustly, unfairly, wrongly | Adverbial form marking unjust manner. Common in moral and legal evaluation. | [CORE] |
| άδικος (ádikos) — unjust, unfair | αδικώ | adikó | αδικ- + -ω (verb suffix) | to wrong, to treat unjustly, to harm | Verbal derivation for the act of wronging or treating unjustly. Common across registers. | [CORE] |
| ειλικρινής (eilikrinís) — sincere, honest, genuine | ειλικρίνεια | eilikríneia | ειλικριν- + -εια (abstract noun suffix) | sincerity, honesty, genuineness | Abstract noun for the quality of being sincere. Common in moral and interpersonal evaluation. | [CORE] |
| ειλικρινής (eilikrinís) — sincere, honest, genuine | ειλικρινά | eilikrinά | ειλικριν- + -ά (adverbial suffix) | sincerely, honestly, genuinely | Adverbial form marking sincere manner. Common across all registers. | [CORE] |
| υποκριτής (ipokritís) — hypocrite, pretender | υποκρισία | ipokrisía | υποκρι- + -σία (abstract noun suffix) | hypocrisy, pretense, insincerity | Abstract noun for the practice or quality of hypocrisy. Common in moral and social evaluation. | [CORE] |
| υποκριτής (ipokritís) — hypocrite, pretender | υποκριτικός | ipokritikós | υποκριτ- + -ικός (adjectival suffix) | hypocritical, insincere, pretending | Adjectival form marking hypocritical quality. Common in moral evaluation. | [CORE] |
| υποκριτής (ipokritís) — hypocrite, pretender | υποκριτικά | ipοkritiká | υποκριτικ- + -ά (adverbial suffix) | hypocritically, insincerely | Adverbial form marking hypocritical manner. Common in critical discourse. | [CORE] |
| νόθος (nóthos) — spurious, illegitimate, bastard | νοθεία | nothía | νοθ- + -εία (abstract noun suffix) | adulteration, corruption, illegitimacy | Abstract noun for the quality or act of being spurious or adulterated. Formal or legal register. | [MARGINAL] |
| νόθος (nóthos) — spurious, illegitimate, bastard | νοθεύω | nothévo | νοθ- + -εύω (denominative verb suffix) | to adulterate, to corrupt, to falsify | Verbal derivation for the act of adulterating or corrupting. Formal or technical register. | [MARGINAL] |
| έγκυρος (énkyros) — valid, legitimate | εγκυρότητα | enkyrótita | εγκυρ- + -ότητα (abstract noun suffix) | validity, legitimacy | Abstract noun for the quality of being valid. Common in legal and administrative contexts. | [CORE] |
| έγκυρος (énkyros) — valid, legitimate | εγκύρως | enkýros | εγκυρ- + -ως (adverbial suffix) | validly, legitimately | Adverbial form marking valid manner. Formal or legal register. | [CORE] |
| άκυρος (ákyros) — invalid, null, void | ακυρότητα | akyrótita | ακυρ- + -ότητα (abstract noun suffix) | invalidity, nullity | Abstract noun for the state of being invalid. Common in legal and administrative contexts. | [CORE] |
| άκυρος (ákyros) — invalid, null, void | ακυρώνω | akyróno | ακυρ- + -ώνω (causative verb suffix) | to invalidate, to cancel, to annul | Verbal derivation for the act of invalidating or canceling. Common in legal, administrative, and everyday contexts. | [CORE] |
| άκυρος (ákyros) — invalid, null, void | ακύρωση | akýrosi | ακυρ- + -ωση (action noun suffix) | cancellation, annulment, invalidation | Nominal form for the act of canceling or invalidating. Common in administrative and commercial contexts. | [CORE] |
| απατηλός (apatilós) — deceptive, misleading | απάτη | apáti | απατ- + -η (noun suffix) | deception, fraud, swindle | Base noun from which απατηλός derives. Common term for fraud or deception in legal and everyday contexts. | [CORE] |
| απατηλός (apatilós) — deceptive, misleading | απατώ | apató | απατ- + -ω (verb suffix) | to deceive, to defraud, to cheat | Verbal form for the act of deceiving. Common across registers. | [CORE] |
| απατηλός (apatilós) — deceptive, misleading | απατεώνας | apateónas | απατ- + -εώνας (agent noun suffix) | swindler, fraud, con artist | Agent noun for someone who habitually deceives or defrauds. Common in legal and everyday contexts. | [CORE] |
| βέβαιος (vévaios) — certain, sure, reliable | βεβαιότητα | vevaiótita | βεβαι- + -ότητα (abstract noun suffix) | certainty, sureness, reliability | Abstract noun for the quality of being certain. Common in epistemological and evaluative discourse. | [CORE] |
| βέβαιος (vévaios) — certain, sure, reliable | βεβαίως | vevaíos | βεβαι- + -ως (adverbial suffix) | certainly, surely, of course | Adverbial form marking certainty. Common across all registers, also used as discourse marker for agreement. | [CORE] |
| βέβαιος (vévaios) — certain, sure, reliable | βεβαιώνω | vevaióno | βεβαι- + -ώνω (causative verb suffix) | to confirm, to certify, to assure | Verbal derivation for the act of confirming or certifying. Common in legal, administrative, and interpersonal contexts. | [CORE] |
| βέβαιος (vévaios) — certain, sure, reliable | βεβαίωση | vevaíosi | βεβαι- + -ωση (action noun suffix) | confirmation, certification, assurance | Nominal form for the act or document of confirmation. Common in administrative and legal contexts. | [CORE] |
| αμφίβολος (amfívolos) — doubtful, dubious, ambiguous | αμφιβολία | amfivolía | αμφιβολ- + -ία (abstract noun suffix) | doubt, uncertainty, ambiguity | Abstract noun for the state of doubt or uncertainty. Common in epistemological and evaluative discourse. | [CORE] |
| αμφίβολος (amfívolos) — doubtful, dubious, ambiguous | αμφίβολα | amfívola | αμφιβολ- + -α (adverbial suffix) | doubtfully, dubiously, ambiguously | Adverbial form marking doubtful manner. Less common than the noun αμφιβολία. | [MARGINAL] |
| καταχρηστικός (katachristikós) — improper, abusive | κατάχρηση | katáchrisi | κατα- (down/against) + χρη- (use) + -ση (action noun) | misuse, abuse, improper use | Base noun from which καταχρηστικός derives. Common in legal and critical discourse about misuse of power, language, or resources. | [CORE] |
| καταχρηστικός (katachristikós) — improper, abusive | καταχρώμαι | katachróme | κατα- + χρ- + -ώμαι (middle voice verb) | to misuse, to abuse | Verbal form for the act of misusing. Formal register. | [CORE] |
| ουσιαστικός (ousiastikós) — substantial, essential, real | ουσιαστικά | ousiastiká | ουσιαστικ- + -ά (adverbial suffix) | substantially, essentially, actually | Adverbial form marking substantial or essential manner. Very common across all registers, also used as discourse marker meaning "basically." | [CORE] |
| ουσιαστικός (ousiastikós) — substantial, essential, real | ουσία | ousía | ουσ- + -ία (abstract noun suffix) | substance, essence, matter | Base noun from which ουσιαστικός derives. Fundamental philosophical term, also used in everyday contexts for substance or essence. | [CORE] |
