| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| ***pe(N)-* + base (negative-role agent)** | *Pemalsu dokumen itu akhirnya ditangkap.* | Pemalsu dokumen itu akhirnya ditangkap. | "The document forger was finally arrested." | Frequent in legal and journalistic registers; *pemalsu* is fully lexicalized. | [CORE] |
| ***pe(N)-* agentive from truth-domain base** | *Dia adalah pembohong yang tidak bisa dipercaya.* | Dia adalah pembohong yang tidak bisa dipercaya. | "He is a liar who cannot be trusted." | Productive for bases denoting deception and forgery; *pembohong*, *pendusta*, *pemalsu*, *peniru*, *penyesat* all attested; common across registers. | [CORE] |
| ***pe(N)-* agentive: forger/counterfeiter** | *Pemalsu uang itu akhirnya ditangkap polisi.* | Pemalsu uang itu akhirnya ditangkap polisi. | "The currency counterfeiter was finally arrested by police." | Frequent in legal and journalistic discourse; *pemalsu* is the standard term for forger/counterfeiter in these registers. | [CORE] |
| **Periphrastic positive-role agent: *orang yang* + adjective** | — | *orang yang jujur* | "an honest person" | Used where *pe(N)-* derivation is absent or marginal for positive roles; *\*penjujur* is unattested. Asymmetry is noted: agentive nominals are established for negative roles but not positive ones in this domain. | [CORE] |
| **Periphrastic truth-teller expression** | — | *orang yang berkata benar* | — | No single derived agentive form for 'truth-teller' is attested; concept expressed periphrastically as *orang yang jujur* or *orang yang berkata benar*; asymmetry with deception-domain agentives is consistent across the data. | [CORE] |
| ***pe(N)-* + base + *-an*** | *Beban pembuktian ada pada pihak penuntut.* | N/A | "The burden of proof lies with the prosecuting party." | *Pembuktian* is a core legal term; *beban pembuktian* is a lexicalized legal formula. Restricted to formal, legal, and academic registers; not typical of casual speech. | [CORE] |
| ***pe(N)-* + base + *-an*** | *Pengesahan undang-undang itu memakan waktu berbulan-bulan.* | N/A | "The ratification of that law took many months." | *Pengesahan* is standard in legal, legislative, and journalistic registers; the *peN-...-an* process nominalization pattern is productive and frequent in formal Indonesian. | [CORE] |
| ***pe(N)-* + base + *-an*** | *Pemalsuan dokumen adalah tindak pidana.* | Pemalsuan dokumen adalah tindak pidana. | "Document forgery is a criminal act." | Productive process/event nominalizer; frequent in legal and journalistic registers. Attested forms: *pemalsuan*, *pengesahan*, *pembenaran*, *pemurnian*, *peniruan*, *penyimpangan*. | [CORE] |
| ***pe(N)-* + base + *-an*** | *Pengesahan undang-undang itu berlangsung kemarin.* | Pengesahan undang-undang itu berlangsung kemarin. | "The ratification of that law took place yesterday." | Particularly frequent in formal, legal, and administrative registers; refers to the act or event rather than the abstract quality. | [CORE] |
| ***di-...-kan* passive** | *Dokumen itu diduga dipalsukan oleh tersangka.* | Dokumen itu diduga dipalsukan oleh tersangka. | "That document is suspected of having been forged by the suspect." | Primary construction in legal and journalistic discourse for acts of forgery, validation, manipulation, and declaration; agent may be expressed with *oleh* or omitted. | [CORE] |
| ***di-...-kan* passive: ratification** | *Undang-undang itu telah disahkan oleh DPR.* | Undang-undang itu telah disahkan oleh DPR. | "That law has been ratified by the parliament." | Standard formula in official and legislative discourse; *disahkan* is the fixed term for formal ratification; agent (*oleh* phrase) is typically retained in this register. | [CORE] |
| ***ter-* stative passive** | — | — | — | Attested in P4a notes (*terbukti*, *tersesat*, *terpercaya*); expresses resultant state without necessarily implying a specific agent; distinct from *di-* passive in that no agentive *oleh* phrase is typical. | [CORE] |
| ***Kalau saya tidak salah* + clause** | *Kalau saya tidak salah, pertemuan itu dijadwalkan hari Kamis.* | N/A | "If I am not mistaken, the meeting is scheduled for Thursday." | Extremely frequent in spoken Indonesian and informal written registers; *kalau saya tidak salah* is the most colloquial variant. | [CORE] |
| ***Sejauh yang saya tahu* + clause** | *Sejauh yang saya tahu, hal itu benar adanya.* | N/A | "As far as I know, that is indeed the case." | Common across spoken and written registers; *benar adanya* is a fixed emphatic phrase ("is indeed the case") that frequently co-occurs with epistemic hedges. | [CORE] |
| ***Sebenarnya* frame** | *Sebenarnya, saya tidak setuju dengan keputusan itu.* | Sebenarnya, saya tidak setuju dengan keputusan itu. | "Actually, I don't agree with that decision." | High-frequency in everyday spoken and written Indonesian; sentence-initial pragmatic operator for correction and disclosure. No register restriction. | [CORE] |
| ***Sebenarnya* frame** | *Sebenarnya, saya tidak setuju dengan pendapat itu.* | Sebenarnya, saya tidak setuju dengan pendapat itu. | "Actually/In truth, I disagree with that opinion." | High-frequency across all registers; functions as correction of false appearance or introduction of a contrasting claim; the most frequent of the attested framing adverbials. | [CORE] |
| ***Pada hakikatnya* frame** | *Pada hakikatnya, masalah ini jauh lebih kompleks.* | Pada hakikatnya, masalah ini jauh lebih kompleks. | "In essence, this problem is far more complex." | Restricted to formal, philosophical, and academic registers; introduces statements about essential rather than surface reality. Less frequent than *sebenarnya* in everyday use. | [MARGINAL] |
| ***Pada hakikatnya* frame (no example)** | — | — | — | Attested in P4a notes; used for essential characterization; more common in formal and written registers than *sebenarnya*. | [CORE] |
| ***Pada esensinya* frame** | — | — | — | Attested in P4a notes; near-synonym of *pada hakikatnya*; appears to be less frequent and more restricted to formal written registers; no standalone example provided in P4a data. | [MARGINAL] |
| ***Pada kenyataannya* frame** | *Pada kenyataannya, hal itu tidak pernah terjadi.* | Pada kenyataannya, hal itu tidak pernah terjadi. | "In reality, that never happened." | Used to correct a false appearance or prior claim; sentence-initial or parenthetical; common across spoken and written registers. | [CORE] |
| ***Sebenar-benarnya* (emphatic variant)** | — | *sebenar-benarnya* | "truly, in the fullest sense" | Restricted to formal declarations and sworn testimony; not used in casual speech. Emphatic and register-marked. | [MARGINAL] |
| ***Jujur saja* frame** | — | — | — | Attested in P4a notes; introduces candid admission; common in spoken and informal written registers; distinct rhetorical function from correction-of-appearance frames. | [CORE] |
| ***Jika saya tidak keliru* hedge** | — | *jika saya tidak keliru* | — | More formal variant of *kalau saya tidak salah*; attested in P4a notes. Restricted to formal speech and writing. | [CORE] |
| ***Jujur saja* / *untuk jujur* hedge** | — | — | — | Honesty-framing hedges; attested in P4a notes. Frequent in spoken Indonesian and registers approximating spoken discourse. | [CORE] |
| ***Memang benar bahwa* + clause** | *Memang benar bahwa angka kemiskinan menurun, tetapi ketimpangan masih tinggi.* | N/A | "It is indeed true that poverty rates have declined, but inequality remains high." | *Memang benar bahwa* is a high-frequency concessive opener in journalistic and argumentative writing; the *memang* particle adds an emphatic or concessive force not present in bare *benar bahwa*. | [CORE] |
| ***Ada benarnya* (+ *juga*)** | *Ada benarnya pendapat itu, meski tidak sepenuhnya tepat.* | N/A | "There is something to that view, though it is not entirely accurate." | *Ada benarnya* is a fixed partial-concession construction acknowledging limited validity of a claim without full endorsement; *juga* ("also") frequently co-occurs to soften further. | [CORE] |
| ***Ada benarnya juga*** | *Ada benarnya juga pendapat itu.* | Ada benarnya juga pendapat itu. | "There is something to that view too." | Partial concession with *juga* softening; extremely common in conversational and editorial discourse. | [CORE] |
| ***Memang benar bahwa* (affirmative)** | *Memang benar bahwa situasinya sulit.* | Memang benar bahwa situasinya sulit. | "It is indeed true that the situation is difficult." | Confirmatory construction used to concede or affirm a point, often in argumentative contexts. | [CORE] |
| **Full reduplication: *benar-benar*** | *Dia benar-benar tidak tahu tentang hal itu.* | N/A | "He truly did not know about that." | *Benar-benar* intensifies degree or reality; very common in everyday speech and writing across all registers. | [CORE] |
| **Full reduplication: *nyata-nyata*** | *Tindakan itu nyata-nyata melanggar hukum.* | N/A | "That action clearly and manifestly violated the law." | *Nyata-nyata* intensifies evidential certainty ("manifestly, clearly"); common in spoken, journalistic, and legal registers. | [CORE] |
| **Domain-restricting validity: *sah* + *secara* + domain noun** | *Pernikahan mereka sah secara hukum maupun agama.* | N/A | "Their marriage is valid both legally and religiously." | Indonesian validity vocabulary regularly appears with domain-restricting adverbials (*secara hukum*, *secara agama*, *secara prosedural*); reflects the Indonesian legal context in which civil, religious, and procedural validity are treated as distinct and potentially separable dimensions. | [CORE] |
| **Domain-restricting validity: *sah* + *secara* + domain noun** | *Keputusan itu sah secara prosedural tetapi dipertanyakan secara moral.* | N/A | "The decision is procedurally valid but morally questionable." | Construction is specific to the *sah/absah/valid* cluster and does not extend to *benar* or *tepat*. | [CORE] |
| **Benar atau tidak (suspension of judgment)** | *Benar atau tidak, kabar itu sudah tersebar luas.* | N/A | "True or not, the news has already spread widely." | Concessive framing using the *benar atau tidak* binary to bracket a claim whose truth is set aside while a consequence is asserted. Common in journalistic and conversational registers. | [CORE] |
| **Benar atau tidak (suspension of judgment)** | *Benar atau tidak, hal itu perlu diselidiki.* | N/A | "True or not, the matter needs to be investigated." | A suspension-of-judgment construction using *benar atau tidak* (true or not) to bracket the truth value of a claim while asserting that it warrants attention regardless. Common in journalistic and investigative discourse. | [CORE] |
| ***Kalau benar* conditional** | *Kalau benar demikian, kita harus segera bertindak.* | N/A | "If that is indeed the case, we must act immediately." | Conditional construction *kalau benar* (if true / if indeed) used to introduce a course of action contingent on the truth of a prior claim. Common in spoken and written deliberative discourse. | [CORE] |
| ***Kalau benar demikian, maka* conditional** | *Kalau benar demikian, maka...* | N/A | "If that is indeed the case, then..." | A conditional construction used in argumentation and formal discourse to introduce a consequence that follows if a prior claim is accepted as true. *Kalau benar demikian* (if truly so) is a fixed conditional opener. Common in legal reasoning, journalistic commentary, and formal debate. | [CORE] |
| ***Memang benar bahwa* (concessive-affirmative)** | *Memang benar bahwa angka kemiskinan menurun.* | N/A | "It is indeed true that poverty rates have declined." | *Memang benar bahwa* is a fixed concessive-affirmative frame used to acknowledge a fact before introducing a qualification or contrast. *Memang* reinforces the truth claim. Common in formal argumentation and journalism. | [CORE] |
| ***Memang benar demikian*** | *Memang benar demikian.* | N/A | "It is indeed the case. / That is indeed so." | A concessive or confirmatory construction combining *memang* (indeed, as expected) with *benar* and the demonstrative *demikian* (thus, so). Used in formal and journalistic registers to confirm a claim, often after it has been questioned or disputed. | [CORE] |
| ***Benar* + *-kah* interrogative** | *Benarkah ia yang melakukan itu?* | N/A | "Is it really true that he did that? / Did he really do that?" | *Benar* + *-kah* (interrogative enclitic) forms a yes/no question challenging or seeking confirmation of a truth claim. Common in spoken and journalistic registers. | [CORE] |
| ***Benar dalam hal* scope restriction** | *Ia benar dalam hal ini.* | N/A | "He is right about this / correct on this point." | *Benar dalam hal* (correct/right in the matter of) restricts the scope of a truth attribution to a specific domain or point. Common in debate, commentary, and academic writing. | [CORE] |
| ***Tidak ada yang benar-benar* + verb** | *Tidak ada yang benar-benar tahu apa yang terjadi.* | N/A | "No one truly knows what happened." | *Tidak ada yang benar-benar* (no one truly / nothing really) combines negation with the intensifier *benar-benar* to assert the complete absence of genuine knowledge or certainty. Common in journalistic and narrative registers. | [CORE] |
| ***Tidak ada yang benar-benar tahu*** | *Tidak ada yang benar-benar tahu.* | N/A | "Nobody really knows. / No one truly knows." | A construction combining negation (*tidak ada yang*) with the intensifier *benar-benar* to express that genuine knowledge of something is absent. Common in journalistic and conversational registers when discussing uncertain matters. | [CORE] |
| ***Sejauh yang saya tahu* + *benar adanya*** | *Sejauh yang saya tahu, hal itu benar adanya.* | N/A | "As far as I know, that is indeed the case." | *Sejauh yang saya tahu* (as far as I know) is an epistemic hedge that qualifies the speaker's commitment to the truth claim introduced by *benar adanya*. Common in spoken and written registers where the speaker signals limited but genuine confidence. | [CORE] |
| ***Pada dasarnya benar* partial concession** | *Pada dasarnya benar, tetapi ada beberapa detail yang perlu dikoreksi.* | N/A | "Essentially correct, but there are some details that need to be corrected." | *Pada dasarnya benar* (essentially/fundamentally correct) is a partial concession construction used in academic, journalistic, and deliberative contexts to acknowledge the core truth of a claim while reserving the right to qualify it. | [CORE] |
| ***Saya rasa ada benarnya juga* + NP** | *Saya rasa ada benarnya juga pendapat itu.* | N/A | "I think there is something to that view as well." | *Ada benarnya* (there is some truth/correctness to it) is a partial concession expression used in conversational and deliberative contexts to acknowledge partial validity without full endorsement. The addition of *juga* (also) softens the concession further. | [CORE] |
| ***Saya rasa ada benarnya* + NP** | *Saya rasa ada benarnya pendapat itu.* | N/A | "I think there is some truth to that opinion." | A hedged partial-endorsement construction combining *saya rasa* (I think/feel) + *ada benarnya* (there is some truth to it) + the evaluated item. The hedge *saya rasa* marks the speaker's epistemic tentativeness. Common in conversational and opinion discourse. | [CORE] |
| ***Benar, tapi* concessive** | *Itu benar, tapi tidak lengkap.* | N/A | "That is true, but incomplete." | *Benar, tapi* (true, but) is a standard concessive construction used to acknowledge a truth claim while introducing a qualification. Extremely common in argumentation, debate, and commentary across all registers. | [CORE] |
| ***Demi kebenaran dan keadilan*** | *Demi kebenaran dan keadilan, ia bersedia bersaksi.* | N/A | "For the sake of truth and justice, he was willing to testify." | *Demi kebenaran dan keadilan* (for the sake of truth and justice) is a fixed collocation used in legal, moral, and political discourse to invoke truth and justice as paired values motivating an action. The pairing of *kebenaran* and *keadilan* is stable and frequent. | [CORE] |
| ***Kebenarannya belum dapat dipastikan*** | *Kebenarannya belum dapat dipastikan.* | N/A | "Its truth has not yet been established / confirmed." | *Kebenaran* + *-nya* (its truth) + *belum dapat dipastikan* (cannot yet be confirmed) is a standard journalistic and legal formula for suspending judgment on an unverified claim. Common in news reporting and official statements. | [CORE] |
| ***Itu benar adanya*** | *Itu benar adanya.* | N/A | "That is genuinely the case. / That is true as it stands." | A fixed predicate construction used to assert that something is factually and genuinely so, often in formal or emphatic contexts. The element *adanya* (*ada* + *-nya*) adds a sense of existential factuality; the construction as a whole is more emphatic than bare *itu benar*. Common in formal speech and writing. | [CORE] |
| ***Ada benarnya juga* (standalone)** | *Ada benarnya juga.* | N/A | "There is something to that. / That has a point. / That's not entirely wrong." | A fixed concessive construction used to partially acknowledge the validity of a claim or argument without fully endorsing it. The particle *juga* ("also, too") softens the concession further. Extremely common in conversational and editorial discourse. | [CORE] |
| ***Yang benar saja*** | *Yang benar saja.* | N/A | "Come on, be serious. / Really? / Tell the truth now." | A colloquial fixed expression used to challenge someone to be honest or to express mild disbelief at a claim. The construction is pragmatically ambiguous between a challenge to honesty and an expression of incredulity. Restricted to informal spoken registers. | [CORE] |
| ***Benar atau salah* concessive** | *Benar atau salah, itu pilihannya.* | N/A | "Right or wrong, that is his/her choice." | The binary formula *benar atau salah* (true or false / right or wrong) used in a concessive frame. The formula itself is fixed; its embedding in larger constructions is syntactically free. Common in moral and deliberative discourse. | [CORE] |
| ***Kalau memang benar* conditional challenge** | *Kalau memang benar, buktikan.* | N/A | "If it is indeed true, prove it." | A conditional challenge construction common in journalistic, legal, and political discourse. The combination *kalau memang benar* is a semi-fixed frame used to demand evidence for a claim. | [CORE] |
| ***Sebenarnya* sentence-initial** | *Sebenarnya, saya tidak setuju.* | N/A | "Actually, I disagree. / In truth, I don't agree." | *Sebenarnya* functioning as a sentence-initial discourse marker introducing a correction or disclosure. This is the canonical use of the form; included here as a construction rather than a derivation because its function is pragmatic-discoursal rather than purely morphological. | [CORE] |
| ***Atas nama kebenaran*** | *Atas nama kebenaran.* | N/A | "In the name of truth." | A prepositional formula used in moral, religious, and political rhetoric to invoke truth as a justifying principle for an action or stance. Appears in formal speeches, editorials, and religious discourse. | [CORE] |
| ***Kebenaran akan terungkap pada akhirnya*** | *Kebenaran akan terungkap pada akhirnya.* | N/A | "The truth will come out in the end. / Truth will eventually be revealed." | A semi-proverbial construction expressing the belief that truth cannot be permanently concealed. The verb *terungkap* (to be revealed, to come to light) is the standard collocate for *kebenaran* in this construction. Common in journalistic and moral discourse. | [CORE] |
| ***Tidak dibenarkan untuk*** | *Tidak dibenarkan untuk...* | N/A | "It is not permitted to... / One is not justified in..." | A fixed regulatory formula using the passive *dibenarkan* in negated form to prohibit or disallow an action. Standard in official regulations, institutional rules, and legal documents. The deontic (permissive/prohibitive) use of *benar* is well established in this construction. | [CORE] |
| ***Tidak dapat dibenarkan dengan alasan apa pun*** | *Tidak dapat dibenarkan dengan alasan apa pun.* | N/A | "It cannot be justified by any reason whatsoever." | A modal negation construction used in legal, moral, and journalistic discourse to declare that an action or claim is wholly without justification. *Tidak dapat dibenarkan* (cannot be justified/confirmed) is a fixed evaluative unit; the addition of *dengan alasan apa pun* (by any reason whatsoever) intensifies the rejection. | [CORE] |
| ***Sudah terbukti benar*** | *Sudah terbukti benar.* | N/A | "It has already been proven true. / It has been verified as correct." | A resultative construction combining *sudah* (already) + *terbukti* (proven, verified) + *benar* (true) to indicate that the truth of something has been established through evidence. Common in journalistic, legal, and scientific discourse. | [CORE] |
| ***Kalau saya tidak salah* hedge** | *Kalau saya tidak salah, pertemuan itu dijadwalkan hari Kamis.* | N/A | "If I am not mistaken, the meeting is scheduled for Thursday." | *Kalau saya tidak salah* (if I am not mistaken) is a standard epistemic hedge used in spoken and written Indonesian to qualify a claim the speaker is not fully certain about. Extremely common across all registers. | [CORE] |
| ***Mengakui bahwa ia salah*** | *Ia mengakui bahwa ia salah.* | N/A | "He admitted that he was wrong." | *Mengakui bahwa ia salah* (to admit that one is wrong) is a standard construction for expressing acknowledgment of error or fault. *Mengakui kesalahan* (to admit one's mistake) is the nominalized variant. Both are common in interpersonal, legal, and moral discourse. | [CORE] |
