| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 38 | Lembaga itu tidak lagi terpercaya setelah skandal terungkap. | N/A | [CORE] | *Tidak lagi terpercaya*; *terungkap* marks the triggering event. |
| 39 | Ia kehilangan kredibilitasnya di hadapan publik. | N/A | [CORE] | *Kehilangan kredibilitas* as the parallel construction. |
| 40 | Ia yang dulu jujur kini menjadi pembohong. | N/A | [CORE] | *Menjadi pembohong*; the contrast with a prior honest state is marked by *yang dulu jujur*. |
| 41 | Tekanan itu membuatnya mulai berbohong. | N/A | [CORE] | *Mulai berbohong* as inchoative; *membuatnya* marks the causal agent. |
| 42 | Dusta yang diulang-ulang bisa menjadi kebenaran yang diterima. | N/A | [CORE] | Encodes the dynamic where a falsehood transitions into an accepted truth. |
| 43 | Dusta yang diulang-ulang bisa dianggap kebenaran. | N/A | [CORE] | Variant of the above; *dianggap* replaces *menjadi*. |
| 44 | Pihak berwenang membenarkan laporan itu. | N/A | [CORE] | *Membenarkan* with an institutional agent. Common in journalistic and everyday registers. |
| 45 | Penyelidikan itu membenarkan klaim tersebut. | N/A | [CORE] | Same construction; the investigation as institutional agent. |
| 46 | Dia membenarkan pernyataan rekannya. | N/A | [CORE] | Personal agent; *membenarkan* in the epistemic confirmation sense. |
| 47 | Tidak ada yang bisa membenarkan tindakan itu. | N/A | [CORE] | *Membenarkan* in the moral justification sense. Negated with *tidak ada yang bisa*. |
| 48 | DPR mengesahkan undang-undang baru. | N/A | [CORE] | *Mengesahkan* with institutional agent. Standard in legislative reporting. |
| 49 | DPR mengesahkan undang-undang itu kemarin. | N/A | [CORE] | Same construction with temporal adverbial. |
| 50 | Notaris mengesahkan dokumen tersebut. | N/A | [CORE] | Same construction with a notarial agent. |
| 51 | Mengabsahkan tindakan kekerasan. | N/A | [CORE] | *Mengabsahkan* as causative of *absah*. |
| 52 | Tim peneliti memvalidasi data sebelum dipublikasikan. | N/A | [CORE] | *Memvalidasi* in academic and technical domains. |
| 53 | Instrumen penelitian ini dinyatakan valid. | N/A | [CORE] | Documented in P2b under *valid*. |
| 54 | Ia memalsukan tanda tangan pada dokumen itu. | N/A | [CORE] | *Memalsukan* as causative of *palsu*. Agent deliberately causes an object to enter the false/forged state. |
| 55 | Tersangka diduga memalsukan dokumen resmi. | N/A | [CORE] | Same construction; *diduga* marks alleged status. |
| 56 | Ia memalsukan tanda tangan direktur untuk mencairkan dana. | N/A | [CORE] | Same construction with purpose clause. |
| 57 | Seseorang telah memalsukan tanda tangannya. | N/A | [CORE] | *Telah* marks completion. Common in legal and journalistic registers. |
| 58 | Informasi itu mengelirukan masyarakat. | N/A | [CORE] | *Mengelirukan* as causative of *keliru*. |
| 59 | Pernyataan itu mengelirukan publik. | N/A | [CORE] | Documented directly in P4a and P4b. |
| 60 | Informasi yang salah itu mengelirukan banyak orang. | N/A | [CORE] | Same construction; the causal agent is incorrect information. |
| 61 | Ia menyatakan bahwa tuduhan itu tidak benar. | N/A | [CORE] | Documented in P2a under *nyata* Derived Form 2. |
| 62 | Ia membohongi saya. | N/A | [CORE] | *Membohongi* transitive; requires a specific object (the person deceived). |
| 63 | Dia membohongi semua orang selama bertahun-tahun. | N/A | [CORE] | Same construction; *selama bertahun-tahun* marks duration. |
| 64 | Jangan membohongi diri sendiri. | N/A | [CORE] | Reflexive use; *diri sendiri* as target. Common in motivational and moral discourse. |
| 65 | Mendustakan ayat-ayat Allah. | N/A | [CORE] | Documented in P2a under *dusta* Derived Form 2. |
| 66 | Para nabi didustakan oleh kaumnya. | N/A | [CORE] | Documented in P2a under *dusta* Derived Form 3. |
| 67 | Ia membuktikan bahwa ia tidak bersalah. | N/A | [CORE] | *Membuktikan* encodes an agent causing a claim to achieve the status of *terbukti*. |
| 68 | Ia harus membuktikan dirinya. | N/A | [CORE] | Reflexive collocation *membuktikan diri* ("to prove oneself"). |
| 69 | Tidak dibenarkan masuk. | N/A | [CORE] | Deontic extension of *membenarkan*; encodes prohibition. |
| 70 | Hal itu tidak dibenarkan. | N/A | [CORE] | Documented in P2a under *benar* Derived Form 4. |
| 71 | Tindakan itu tidak dibenarkan. | N/A | [CORE] | Standard regulatory formula documented in P2b and P4b. |
| 72 | Klaim itu dibenarkan oleh bukti yang ada. | N/A | [CORE] | *Dibenarkan* passive causative; agent is *bukti*. |
