1. **benar**  
    **Literal meaning / morphology:** basic adjective/verb-like predicate; ‘to fit, match, suit’  
    **Typical English translations:** suitable; fitting; matching; compatible  

    **Usage:** *Cocok* is common in everyday speech for whether something suits a person, purpose, or situation. It can also be used for resemblance or matching, such as whether a description, sample, or identification fits.  
    **Epistemic status:** [CORE]

12. **kecocokan**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + cocok + -an*; ‘compatibility, match, fit’  
    **Typical English translations:** compatibility; suitability; match  

    **Usage:** *Kecocokan* is used for the degree of fit between people, objects, categories, or evidence. It appears in both everyday and technical contexts, including matching records, profiles, or characteristics.  
    **Epistemic status:** [CORE]

13. **asli**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘original, genuine’  
    **Typical English translations:** genuine; authentic; original; real  

    **Usage:** *Asli* is widely used to evaluate whether an object, document, artwork, or identity is genuine rather than fake or copied. It also appears in broader senses such as ‘native’ or ‘original’, but genuineness is a central use.  
    **Epistemic status:** [CORE]

14. **keaslian**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + asli + -an*; ‘authenticity, originality’  
    **Typical English translations:** authenticity; originality; genuineness  

    **Usage:** *Keaslian* is common in discussions of documents, signatures, artifacts, artworks, and academic work. It evaluates whether something is genuinely what it claims to be, or whether it is original rather than derivative or forged.  
    **Epistemic status:** [CORE]

15. **palsu**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘false, fake, counterfeit’  
    **Typical English translations:** fake; false; counterfeit  

    **Usage:** *Palsu* is used for forged documents, counterfeit goods, false identity, and deceptive representations. It directly contrasts with *asli* in many practical and legal contexts.  
    **Epistemic status:** [CORE]

16. **sah**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘valid, legitimate, legally recognized’  
    **Typical English translations:** valid; legitimate; lawful; legally valid  

    **Usage:** *Sah* is especially important in legal, administrative, and religious contexts. It evaluates whether a marriage, contract, vote, document, or procedure is recognized as valid under the relevant rules or authority.  
    **Epistemic status:** [CORE]

17. **keabsahan**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + absah + -an*; ‘validity, legitimacy’  
    **Typical English translations:** validity; legitimacy  

    **Usage:** *Keabsahan* is a formal noun used for the validity of evidence, documents, procedures, and institutional acts. It is common in legal and academic writing, often where procedural or evidential correctness is under scrutiny.  
    **Epistemic status:** [CORE]

18. **absah**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘valid, legitimate’  
    **Typical English translations:** valid; legitimate  

    **Usage:** *Absah* overlaps strongly with *sah* but is often felt as more formal or technical. It is used in legal and bureaucratic contexts to assess whether a claim, document, or process has proper validity.  
    **Epistemic status:** [CORE]

19. **valid**  
    **Transliteration:** —  
    **Literal meaning / morphology:** borrowing from international vocabulary  
    **Typical English translations:** valid  

    **Usage:** *Valid* is common in formal Indonesian, especially in academic, legal, bureaucratic, and technical settings. It is used for data, arguments, instruments, and documents judged acceptable or well-founded by relevant standards.  
    **Epistemic status:** [CORE]

20. **validitas**  
    **Transliteration:** —  
    **Literal meaning / morphology:** borrowing; ‘validity’  
    **Typical English translations:** validity  

    **Usage:** *Validitas* is especially frequent in research, testing, logic, and formal evaluation. It refers to the soundness or acceptability of methods, measurements, arguments, or evidence according to established criteria.  
    **Epistemic status:** [CORE]

21. **akurat**  
    **Transliteration:** —  
    **Literal meaning / morphology:** borrowing; ‘accurate’  
    **Typical English translations:** accurate  

    **Usage:** *Akurat* is widely used for information, reporting, measurement, and description that closely matches facts or reality. It is common in journalism, science, and public communication where factual precision is emphasized.  
    **Epistemic status:** [CORE]

22. **keakuratan**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + akurat + -an*; ‘accuracy’  
    **Typical English translations:** accuracy  

    **Usage:** *Keakuratan* refers to the degree of factual or representational accuracy in data, statements, models, or reports. It is common in technical and evaluative writing where precision is measured or compared.  
    **Epistemic status:** [CORE]

23. **andal**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘reliable, dependable’  
    **Typical English translations:** reliable; dependable  

    **Usage:** *Andal* is used for persons, systems, methods, and sources that can be trusted to function or perform consistently. It often concerns reliability rather than truth directly, but it is clearly relevant in evaluating evidence, testimony, or instruments.  
    **Epistemic status:** [CORE]

24. **keandalan**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + andal + -an*; ‘reliability’  
    **Typical English translations:** reliability; dependability  

    **Usage:** *Keandalan* is common in technical, scientific, and evaluative contexts for the reliability of machines, systems, data sources, or procedures. It can also be used for the trustworthiness of a person or institution in carrying out responsibilities.  
    **Epistemic status:** [CORE]

25. **mirip**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘similar, resembling’  
    **Typical English translations:** similar; resembling; look like  

    **Usage:** *Mirip* is used when one person, object, image, or account resembles another. It is relevant where likeness or representational similarity is being judged, such as in identification, portraits, or comparisons.  
    **Epistemic status:** [CORE]

26. **kemiripan**  
    **Transliteration:** —  
    **Literal meaning / morphology:** *ke- + mirip + -an*; ‘similarity, resemblance’  
    **Typical English translations:** similarity; resemblance  

    **Usage:** *Kemiripan* is used for the degree of resemblance between appearances, forms, narratives, or patterns. It appears in both everyday and formal contexts, including visual comparison and textual or conceptual similarity.  
    **Epistemic status:** [CORE]

27. **hakikat**  
    **Transliteration:** —  
    **Literal meaning / morphology:** borrowing; ‘essence, fundamental nature’  
    **Typical English translations:** essence; true nature; fundamental nature  

    **Usage:** *Hakikat* is used in philosophical, religious, and reflective discourse to refer to what something fundamentally is. It does not usually evaluate correctness in a narrow factual sense, but it is central when discussing the real nature or essence of a thing.  
    **Epistemic status:** [CORE]

28. **jati diri**  
    **Transliteration:** —  
    **Literal meaning / morphology:** ‘true/genuine + self’  
    **Typical English translations:** true identity; essential self; identity  

    **Usage:** *Jati diri* is a fixed expression referring to one’s true identity or essential character, whether personal, cultural, or national. It is common in moral, educational, and cultural discourse about authenticity and what someone or something fundamentally is.  
    **Epistemic status:** [CORE]

29. **sejati**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘true, genuine, real’  
    **Typical English translations:** true; genuine; authentic; real  

    **Usage:** *Sejati* is often used in elevated or literary style for something genuine in essence, such as *cinta sejati* or *sahabat sejati*. It can also appear in reflective or philosophical contexts to contrast the merely apparent with the truly real.  
    **Epistemic status:** [CORE]

30. **patut**  
    **Transliteration:** —  
    **Literal meaning / morphology:** basic adjective; ‘proper, fitting, deserving’  
    **Typical English translations:** proper; appropriate; fitting; deserving  

    **Usage:** *Patut* is used to evaluate conduct, treatment, judgment, or response as proper or appropriate. It is common in moral, social, and formal registers, especially where rightness is judged in relation to norms rather than factual truth.  
    **Epistemic status:** [CORE]
