| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
| CAUSATIVE (OR ABSENCE) | *Pemerintah mengesahkan undang-undang itu.* | — | “The government ratified that law.” | [CORE] | Very common in legal and governmental contexts. This type is productive only in a root-specific way: verbs such as *mengesahkan, mengabsahkan, membetulkan,* and *memalsukan* are established, but they do not form a single fully general construction. Alternate constructions: **meN- + root + -kan** causative/confirmative/validative |
| ABSTRACT NOMINALIZATION | *kebenaran* | — | “truth” | [CORE] | Highly natural as an abstract noun in formal, literary, philosophical, and everyday usage depending on the lexeme. **ke- -an** nominalizations are common in this semantic domain, alongside some borrowed formal nouns. Alternate constructions: **ke- + ADJ + -an** / borrowed noun formation |
| ABSTRACT NOMINALIZATION | *keaslian dokumen* | — | “the authenticity of the document” | [CORE] | Common in administrative, legal, and evaluative contexts where a property is discussed abstractly. Borrowed forms such as *validitas* and *validasi* are also used, especially in technical or institutional registers. Alternate constructions: **ke- + ADJ + -an** / borrowed noun formation |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) | — | (no common expression identified) | [UNCERTAIN] | No common productive agentive pattern was identified in the provided material. Usage in this semantic area appears to rely on separate lexical items or descriptive phrases rather than a regular derivation from the listed roots. Alternate constructions: (no common expression identified) |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) | — | (no common expression identified) | [UNCERTAIN] | The absence of a clear attested pattern means no reliable construction can be rated as idiomatic here on the basis of the dataset. No alternate construction is attested in P4a. Alternate constructions: (no common expression identified) |
| CONFORMITY / COMPARISON FRAME | *Pernyataannya sesuai dengan fakta.* | — | “His statement is in accordance with the facts.” | [CORE] | Very natural in formal, evaluative, and report-like contexts where a statement is measured against a standard or evidence. *Sesuai dengan* is especially common for norm- or fact-based conformity. Alternate constructions: **sesuai dengan + N** / **cocok dengan + N** / **mirip dengan + N** |
| CONFORMITY / COMPARISON FRAME | *Foto itu mirip dengan aslinya.* | — | “The photo resembles the original.” | [CORE] | Natural when expressing resemblance rather than full correctness or validity. *Cocok dengan* is more everyday and compatibility-oriented, while *mirip dengan* is specifically for similarity. Alternate constructions: **sesuai dengan + N** / **cocok dengan + N** / **mirip dengan + N** |
| PROPOSITIONAL COMPLEMENT | *Benar bahwa laporan itu sudah diterima.* | — | “It is true that the report has been received.” | [CORE] | Common in formal clarification, reporting, and explicit truth assessment of a full proposition. This pattern is especially natural with *benar* and its negated counterpart in institutional or argumentative contexts. Alternate constructions: **benar bahwa ...** / **tidak benar bahwa ...** |
| PROPOSITIONAL COMPLEMENT | *Tidak benar bahwa dia memalsukan data.* | — | “It is not true that he falsified the data.” | [CORE] | Very natural in denials, rebuttals, and official statements. The negated form is particularly frequent where a claim is being rejected directly. Alternate constructions: **benar bahwa ...** / **tidak benar bahwa ...** |
| EVIDENTIAL / EVALUATIVE PASSIVE | *Data itu dianggap valid.* | — | “The data is considered valid.” | [CORE] | Common in formal, institutional, academic, and bureaucratic language where judgment is attributed to an authority or evaluative process. Different passive verbs mark different stances, such as assumption, declaration, confirmation, suspicion, or proof. Alternate constructions: **dianggap / dinyatakan / dipastikan / diduga / terbukti + ADJ** |
| EVIDENTIAL / EVALUATIVE PASSIVE | *Tanda tangan itu diduga palsu.* | — | “The signature is suspected to be fake.” | [CORE] | Very natural in legal, investigative, and news contexts, especially with authenticity predicates like *asli* and *palsu*. The choice of passive verb is restricted by evidential meaning: *diduga* for suspicion, *dipastikan* for certainty, *terbukti* for established proof. Alternate constructions: **dianggap / dinyatakan / dipastikan / diduga / terbukti + ADJ** |
