# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Swahili (sw)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
| -enye haki | -enye haki | having right/justice | right, just, justified, righteous | Describes persons or positions as being in the right or justified. Used in moral and legal evaluations to identify who has justice on their side. | [CORE] |
| dhahiri | dhahiri | apparent, evident (from Arabic ẓāhir) | clear, evident, obvious, apparent, manifest | Indicates what is clearly evident or manifestly true. Used to point out observable truth or obvious facts ("ni dhahiri kwamba..." = "it is evident that..."). | [CORE] |
| batili | batili | false, invalid (from Arabic bāṭil) | false, invalid, null, void, untrue | Denotes falsity, invalidity, or nullity especially in legal and formal contexts. Used to declare statements or documents as without validity or truth. | [CORE] |
| -a uongo | -a uongo | of falsehood (associative construction) | false, fake, counterfeit, deceptive | Adjectival phrase marking something as false or fake. Used to identify deceptive representations or counterfeit items ("habari za uongo" = "false news"). | [CORE] |
| hoja | hoja | argument, reason, proof (from Arabic ḥujja) | argument, reason, proof, evidence, justification | Refers to reasoned arguments or evidence supporting claims. Used in debates, legal contexts, and discussions to present justifications or proofs. | [CORE] |
| ushahidi | ushahidi | u- (noun class prefix) + -shahidi (witness root, from Arabic shahīd) | evidence, testimony, witness, proof | Denotes evidence or testimony establishing truth. Commonly used in legal contexts and investigations to refer to proof or witness statements. | [CORE] |
| hakika | hakika | certainty, truth (from Arabic ḥaqīqa) | certain, sure, definite, truly, indeed | Expresses certainty or definiteness about truth claims. Used to emphasize confidence in accuracy or to confirm statements emphatically ("kwa hakika" = "certainly, surely"). | [CORE] |
| -adilifu | -adilifu | just, fair (from Arabic ʿadl + Bantu derivational suffix) | just, fair, honest, upright | Describes persons or actions as morally upright and fair. Used in ethical evaluations of character and conduct ("mtu adilifu" = "honest/just person"). | [CORE] |
| uadilifu | uadilifu | u- (noun class prefix) + -adilifu (just/fair) | justice, fairness, honesty, integrity | Nominal form referring to the quality of being just or honest. Used in moral and legal discourse to denote integrity and fairness as virtues. | [CORE] |
| -bovu | -bovu | rotten, corrupt | corrupt, rotten, bad, spoiled, false | Describes moral corruption or physical decay. Used in ethical contexts to characterize dishonest conduct or corrupted states ("rushwa ni mbovu" = "bribery is corrupt"). | [CORE] |
| -nyofu | -nyofu | straight, upright | straight, honest, upright, direct, sincere | Describes straightforwardness and honesty in character or speech. Used to evaluate moral rectitude and truthfulness ("mwenendo mnyofu" = "upright conduct"). | [CORE] |
| thibitisha | thibitisha | to confirm, verify (from Arabic thabata) | confirm, verify, validate, prove, establish | Verb meaning to establish truth or validity through verification. Used in formal and everyday contexts to describe the act of confirming accuracy or authenticity. | [CORE] |
| -a kweli kabisa | -a kweli kabisa | of truth completely (intensified form) | absolutely true, completely genuine, very real | Intensified expression emphasizing complete truthfulness or authenticity. Used for strong affirmation of genuineness beyond ordinary claims. | [CORE] |
| -danganyifu | -danganyifu | deceptive (from -danganya "to deceive" + -fu suffix) | deceptive, deceitful, fraudulent, misleading | Describes persons or things characterized by deception. Used in moral evaluations to identify dishonest or misleading qualities. | [CORE] |
| usahihi | usahihi | u- (noun class prefix) + -sahihi (correct) | correctness, accuracy, validity, authenticity | Nominal form referring to the quality of being correct or accurate. Used in formal contexts to discuss accuracy standards or validity. | [CORE] |
| -a haki | -a haki | of right/justice (associative construction) | rightful, just, legitimate, proper | Adjectival phrase indicating legitimacy or rightfulness. Used to mark claims, ownership, or positions as morally or legally justified. | [CORE] |
| -a dhati | -a dhati | of essence/nature (from Arabic dhāt) | essential, inherent, genuine, natural, real | Describes what is essential or inherent to something's nature. Used to identify fundamental or genuine characteristics ("sifa za dhati" = "essential qualities"). | [CORE] |
| -tupu | -tupu | empty, mere, bare | mere, empty, bare, hollow, false | Can indicate emptiness or lack of substance, sometimes used to characterize claims as hollow or without real content. Used in evaluative contexts to dismiss superficial appearances. | [CORE] |
| -a busara | -a busara | of wisdom/reason | reasonable, sensible, wise, rational, sound | Describes judgments or conduct as reasonable and sound. Used in evaluative contexts to characterize thinking or decisions as properly reasoned. | [CORE] |
| kwa kweli | kwa kweli | by/with truth | truly, really, indeed, in truth | Adverbial phrase used to emphasize sincerity or truthfulness of statements. Very common in everyday speech to affirm what one is saying ("kwa kweli, sikujua" = "truly, I didn't know"). | [CORE] |
| kweli kweli | kweli kweli | truth truth (reduplication) | really truly, very true, absolutely true | Emphatic reduplication used to intensify truthfulness claims. Common in informal speech to express strong affirmation or surprise at truth ("ni kweli kweli!" = "it's really true!"). | [CORE] |
| ni kweli | ni kweli | it-is truth | it's true, that's right | Standard affirmative response or statement confirming truth of propositions. Used constantly in conversation to validate what has been said. | [CORE] |
| si kweli | si kweli | not truth | it's not true, that's false | Negation used to deny truth of statements. Common in disagreements and corrections ("si kweli kabisa" = "not true at all"). | [CORE] |
| ukweli wa jambo | ukweli wa jambo | truth of matter | the truth of the matter, the facts of the case | Used in discussions and investigations to refer to actual facts or reality of situations. Common in legal and formal discourse. | [CORE] |
| ukweli wa mambo | ukweli wa mambo | truth of things/matters | the truth about things, the reality of matters | Broader reference to truth about multiple issues or general state of affairs. Used in explanatory and analytical contexts. | [CORE] |
| ukweli ulio wazi | ukweli ulio wazi | truth which-is open/clear | obvious truth, clear truth, self-evident truth | Refers to truths that are manifest or undeniable. Used in arguments to point out what should be apparent to all. | [CORE] |
| ukweli halisi | ukweli halisi | truth genuine | genuine truth, real truth, actual truth | Emphasizes authenticity of truth claims, distinguishing from apparent or claimed truth. Used when establishing what is really true. | [CORE] |
| ukweli wa historia | ukweli wa historia | truth of history | historical truth, historical fact | Refers to factual accuracy in historical accounts. Used in academic and educational contexts discussing historical veracity. | [CORE] |
| ukweli wa Mungu | ukweli wa Mungu | truth of God | God's truth, divine truth | Religious expression referring to truth as revealed or guaranteed by God. Common in Christian and Islamic religious discourse. | [CORE] |
| kusema kweli | kusema kweli | to-speak truth | to tell the truth, to speak truthfully | Verbal phrase describing act of truthful speech. Used in moral instruction and when requesting honesty ("sema kweli" = "tell the truth"). | [CORE] |
| kuambia kweli | kuambia kweli | to-tell truth | to tell the truth (to someone) | Similar to kusema kweli but with applicative extension indicating telling truth to someone. Common in confessions and honest disclosures. | [CORE] |
| kuongea kweli | kuongea kweli | to-talk truth | to speak truthfully, to talk honestly | Describes habitual or characteristic truthful speech. Used in character evaluations ("yeye huongea kweli" = "he speaks truthfully"). | [CORE] |
| mwenye kweli | mwenye kweli | one-having truth | truthful person, honest person | Nominal phrase identifying someone characterized by truthfulness. Used in character descriptions and moral evaluations. | [CORE] |
| mtu wa kweli | mtu wa kweli | person of truth | truthful person, honest person, person of integrity | Similar to mwenye kweli, describes person of truthful character. Common in testimonials and character references. | [CORE] |
| rafiki wa kweli | rafiki wa kweli | friend of truth | true friend, genuine friend | Describes authentic friendship as opposed to superficial relationships. Very common expression in discussions of friendship quality. | [CORE] |
| upendo wa kweli | upendo wa kweli | love of truth | true love, genuine love | Describes authentic love as opposed to infatuation or pretense. Common in romantic and familial contexts. | [CORE] |
| dhahabu ya kweli | dhahabu ya kweli | gold of truth | real gold, genuine gold | Used to distinguish authentic gold from imitations or alloys. Common in commercial contexts and discussions of authenticity. | [CORE] |
| jina la kweli | jina la kweli | name of truth | real name, true name, actual name | Refers to someone's actual name as opposed to nickname or alias. Used in formal identification contexts. | [CORE] |
| sababu ya kweli | sababu ya kweli | reason of truth | real reason, true reason, actual cause | Identifies genuine cause or motivation as opposed to stated or apparent reasons. Used in analytical and investigative contexts. | [CORE] |
| maana ya kweli | maana ya kweli | meaning of truth | true meaning, real meaning, actual significance | Refers to genuine meaning or significance of words, actions, or events. Used in interpretive and explanatory discourse. | [CORE] |
| ukweli usio na shaka | ukweli usio na shaka | truth without doubt | undoubted truth, certain truth, indubitable truth | Emphasizes certainty and lack of doubt about truth claims. Used in strong affirmations and conclusive statements. | [CORE] |
| ukweli mkubwa | ukweli mkubwa | truth big | great truth, important truth, major truth | Refers to significant or profound truths. Used in philosophical, religious, and moral instruction contexts. | [CORE] |
| ukweli mdogo | ukweli mdogo | truth small | small truth, minor truth, lesser truth | Refers to less significant truths or details. Used to distinguish important from trivial facts. | [CORE] |
| ukweli wa kawaida | ukweli wa kawaida | truth of ordinary/usual | ordinary truth, common truth, everyday truth | Refers to mundane or commonly known truths. Used to distinguish from profound or hidden truths. | [CORE] |
| ukweli wa siri | ukweli wa siri | truth of secret | secret truth, hidden truth | Refers to truths that are concealed or not widely known. Used in contexts of revelation or disclosure. | [CORE] |
| tafuta ukweli | tafuta ukweli | seek truth | to seek truth, to search for truth | Describes pursuit of truth through investigation or inquiry. Common in academic, journalistic, and philosophical contexts. | [CORE] |
| gundua ukweli | gundua ukweli | discover truth | to discover the truth, to uncover the truth | Describes finding or revealing truth through investigation. Used in detective, journalistic, and research contexts. | [CORE] |
| jua ukweli | jua ukweli | know truth | to know the truth | Describes state of knowing what is true. Common in epistemic discussions and when contrasting knowledge with ignorance. | [CORE] |
| elewa ukweli | elewa ukweli | understand truth | to understand the truth | Describes comprehension of truth beyond mere knowledge. Used when emphasizing deeper understanding. | [CORE] |
| tambua ukweli | tambua ukweli | recognize truth | to recognize the truth, to acknowledge the truth | Describes act of recognizing or accepting truth. Used when someone comes to accept what is true. | [CORE] |
| kubali ukweli | kubali ukweli | accept truth | to accept the truth, to admit the truth | Describes acceptance of truth, often reluctantly. Common in contexts of confession or acknowledgment. | [CORE] |
| kiri ukweli | kiri ukweli | confess truth | to confess the truth, to admit the truth | Describes admission of truth, especially when previously denied. Used in legal and moral contexts. | [CORE] |
| ficha ukweli | ficha ukweli | hide truth | to hide the truth, to conceal the truth | Describes deliberate concealment of truth. Used in discussions of deception and cover-ups. | [CORE] |
| pinga ukweli | pinga ukweli | oppose truth | to oppose the truth, to deny the truth | Describes resistance to or denial of truth. Used in contexts of obstinacy or willful ignorance. | [CORE] |
| kwa haki | kwa haki | by/with right/justice | justly, rightly, fairly, by rights | Adverbial phrase indicating something done according to justice or rights. Common in moral and legal discourse ("kwa haki yake" = "by his right"). | [CORE] |
| haki yake | haki yake | right his/her | his/her right, what he/she deserves | Possessive construction indicating someone's entitlement or due. Very common in discussions of rights and justice. | [CORE] |
| haki yangu | haki yangu | right my | my right, what I deserve | First person possessive indicating speaker's entitlement. Common in assertions of rights and claims. | [CORE] |
| haki zake | haki zake | rights his/her (plural) | his/her rights | Plural possessive referring to multiple rights. Used in legal and human rights discourse. | [CORE] |
| haki za binadamu | haki za binadamu | rights of human | human rights | Standard term for human rights. Central to legal, political, and advocacy discourse. | [CORE] |
| haki za mwanadamu | haki za mwanadamu | rights of human-being | human rights | Alternative form of "human rights" using different word for human. Used interchangeably with haki za binadamu. | [CORE] |
| haki za wanawake | haki za wanawake | rights of women | women's rights | Refers to rights specific to women. Common in gender equality and advocacy discourse. | [CORE] |
| haki za watoto | haki za watoto | rights of children | children's rights | Refers to rights specific to children. Used in child protection and welfare discourse. | [CORE] |
| haki ya kura | haki ya kura | right of vote | right to vote, voting right, suffrage | Refers to electoral rights. Common in political and democratic discourse. | [CORE] |
| haki ya kujieleza | haki ya kujieleza | right of to-express-oneself | right to express oneself, freedom of expression | Refers to freedom of speech and expression. Used in civil liberties discourse. | [CORE] |
| haki ya kumiliki | haki ya kumiliki | right of to-own | right to own, property right, ownership right | Refers to property and ownership rights. Common in legal and economic contexts. | [CORE] |
| haki ya ardhi | haki ya ardhi | right of land | land right, land ownership right | Refers to rights over land. Important in property law and land disputes. | [CORE] |
| haki ya kazi | haki ya kazi | right of work | right to work, labor right | Refers to employment rights. Used in labor law and workers' rights discourse. | [CORE] |
| haki ya elimu | haki ya elimu | right of education | right to education | Refers to educational rights. Common in discussions of access to education. | [CORE] |
| haki ya afya | haki ya afya | right of health | right to health, right to healthcare | Refers to health and healthcare rights. Used in public health and welfare discourse. | [CORE] |
| dai haki | dai haki | claim right | to claim a right, to demand justice | Verbal phrase describing assertion of rights or demands for justice. Common in advocacy and legal contexts. | [CORE] |
| toa haki | toa haki | give right | to give rights, to grant justice, to do justice | Describes granting of rights or rendering of justice. Used in legal and administrative contexts. | [CORE] |
| pata haki | pata haki | get right | to get justice, to obtain one's rights | Describes receiving justice or having rights recognized. Common in legal outcomes and resolutions. | [CORE] |
| pokea haki | pokea haki | receive right | to receive justice, to receive one's due | Similar to pata haki, emphasizes reception of justice or rights. Used in formal contexts. | [CORE] |
| linda haki | linda haki | protect right | to protect rights, to defend justice | Describes protection or defense of rights. Common in human rights and advocacy work. | [CORE] |
| vunja haki | vunja haki | break right | to violate rights, to commit injustice | Describes violation of rights or perpetration of injustice. Used in accusations and legal complaints. | [CORE] |
| kosa haki | kosa haki | err right | to wrong someone, to commit injustice | Describes doing wrong or injustice to someone. Common in moral and legal discourse. | [CORE] |
| haki ni kwamba | haki ni kwamba | truth/right is that | the truth is that, the fact is that | Introductory phrase used to state truth or facts. Common in explanations and clarifications where haki means "truth." | [CORE] |
| kwa haki kabisa | kwa haki kabisa | by right completely | absolutely rightly, completely justly | Intensified form emphasizing complete justice or rightness. Used for strong affirmations. | [CORE] |
| mwenye haki | mwenye haki | one-having right | one who is right, rightful person, just person | Identifies person who has justice on their side or is in the right. Common in disputes and judgments. | [CORE] |
| haki yetu | haki yetu | right our | our right, what we deserve | First person plural possessive indicating collective entitlement. Used in group claims and collective action. | [CORE] |
| haki zetu | haki zetu | rights our (plural) | our rights | Plural form referring to collective rights. Common in solidarity and collective advocacy. | [CORE] |
| bila haki | bila haki | without right | unjustly, wrongly, without justification | Indicates action taken without justification or right. Used to criticize unjust actions. | [CORE] |
| haki ya kisheria | haki ya kisheria | right of legal | legal right, lawful right | Refers to rights established by law. Used in legal discourse to distinguish from moral rights. | [CORE] |
| haki ya kimila | haki ya kimila | right of customary | customary right, traditional right | Refers to rights based on custom or tradition. Important in discussions of customary law. | [CORE] |
| kwa usahihi | kwa usahihi | with correctness | correctly, accurately, precisely | Adverbial phrase indicating manner of doing something with accuracy. Common in instructions and evaluations. | [CORE] |
| jibu sahihi | jibu sahihi | answer correct | correct answer | Standard phrase in educational contexts for right answers. Very common in tests and exercises. | [CORE] |
| majibu sahihi | majibu sahihi | answers correct (plural) | correct answers | Plural form used when referring to multiple correct answers. Common in grading and assessment. | [CORE] |
| taarifa sahihi | taarifa sahihi | information correct | correct information, accurate information | Refers to accurate information or data. Used in administrative and informational contexts. | [CORE] |
| habari sahihi | habari sahihi | news correct | accurate news, correct information | Refers to accurate news or reports. Used in journalism and information verification. | [CORE] |
| takwimu sahihi | takwimu sahihi | statistics correct | accurate statistics, correct figures | Refers to accurate statistical data. Common in research and reporting contexts. | [CORE] |
| hesabu sahihi | hesabu sahihi | calculation correct | correct calculation, accurate computation | Refers to accurate mathematical calculations. Used in accounting, mathematics, and financial contexts. | [CORE] |
| tarehe sahihi | tarehe sahihi | date correct | correct date, accurate date | Refers to accurate dating of events or documents. Common in administrative and historical contexts. | [CORE] |
| wakati sahihi | wakati sahihi | time correct | correct time, right time, accurate timing | Refers to accurate time or appropriate timing. Used in scheduling and temporal accuracy contexts. | [CORE] |
| mahali sahihi | mahali sahihi | place correct | correct place, right place | Refers to accurate location or appropriate place. Used in directions and positioning contexts. | [CORE] |
| njia sahihi | njia sahihi | way correct | correct way, right method, proper procedure | Refers to proper method or procedure. Common in instructions and methodological discussions. | [CORE] |
| namna sahihi | namna sahihi | manner correct | correct manner, proper way | Similar to njia sahihi, refers to proper manner of doing things. Used in procedural contexts. | [CORE] |
| ufafanuzi sahihi | ufafanuzi sahihi | explanation correct | correct explanation, accurate interpretation | Refers to accurate explanations or interpretations. Used in analytical and educational contexts. | [CORE] |
| tafsiri sahihi | tafsiri sahihi | translation correct | correct translation, accurate translation | Refers to accurate translation between languages. Common in translation and interpretation work. | [CORE] |
| maelezo sahihi | maelezo sahihi | explanations correct | correct explanations, accurate descriptions | Refers to accurate explanations or descriptions. Used in instructional and informational contexts. | [CORE] |
| saini sahihi | saini sahihi | signature correct | valid signature, authentic signature | Refers to valid or authentic signatures on documents. Common in legal and administrative verification. | [CORE] |
| hati sahihi | hati sahihi | document correct | valid document, authentic document | Refers to valid or authentic documents. Used in legal and administrative contexts for document verification. | [CORE] |
| nakala sahihi | nakala sahihi | copy correct | certified copy, authentic copy, true copy | Refers to officially certified or authentic copies of documents. Common in legal and administrative procedures. | [CORE] |
| chapa sahihi | chapa sahihi | stamp correct | valid stamp, official stamp | Refers to valid or official stamps on documents. Used in authentication and certification processes. | [CORE] |
| uthibitisho sahihi | uthibitisho sahihi | verification correct | valid verification, proper authentication | Refers to proper verification or authentication procedures. Used in formal validation contexts. | [CORE] |
| usahihi wa taarifa | usahihi wa taarifa | correctness of information | accuracy of information, information accuracy | Refers to the quality of information being accurate. Used in data quality and verification discussions. | [CORE] |
| usahihi wa habari | usahihi wa habari | correctness of news | accuracy of news, news accuracy | Refers to accuracy in news reporting. Important in journalism and media criticism. | [CORE] |
| usahihi wa hesabu | usahihi wa hesabu | correctness of calculation | accuracy of calculation, computational accuracy | Refers to accuracy in mathematical or financial calculations. Used in accounting and mathematics. | [CORE] |
| hakikisha usahihi | hakikisha usahihi | ensure correctness | to ensure accuracy, to verify correctness | Describes act of ensuring or verifying accuracy. Common in quality control and verification procedures. | [CORE] |
| angalia usahihi | angalia usahihi | check correctness | to check accuracy, to verify correctness | Describes checking for accuracy. Used in review and verification processes. | [CORE] |
| thibitisha usahihi | thibitisha usahihi | confirm correctness | to confirm accuracy, to validate correctness | Describes formal confirmation of accuracy. Used in certification and validation procedures. | [CORE] |
