# CLCA Protocol v3.4 — F4 Construction Table
# Language: Swahili (sw)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| EVIDENTIAL/OBVIOUSNESS MARKING | Ukweli usio na shaka | ukweli u-sio na shaka | undoubted truth, certain truth | Relative clause construction marking evident truth: **ukweli u-lio wazi** (truth which-is open/clear). Uses relative marker **-lio/-sio** with agreement. Pattern marks epistemic status of truth claims. **Wazi** (open/clear) indicates obviousness; **bila/si na shaka** (without doubt) indicates certainty. | [CORE] |
| DOCUMENT VALIDATION | Nakala sahihi | nakala sahihi | certified copy, authentic copy | **N sahihi** where N is document-related noun: direct adjectival modification marking official validity. Specialized administrative/legal pattern. **Sahihi** modifies document nouns without class agreement (Arabic loan). Common with **saini** (signature), **chapa** (stamp), **uthibitisho** (verification), **nakala** (copy). | [CORE] |
| DOCUMENT VALIDATION | Hati sahihi | hati sahihi | valid document, authentic document | **N sahihi** where N is document-related noun: direct adjectival modification marking official validity. Specialized administrative/legal pattern. **Sahihi** modifies document nouns without class agreement (Arabic loan). Common with **saini** (signature), **chapa** (stamp), **uthibitisho** (verification), **nakala** (copy). | [CORE] |
| MODAL CONSTRUCTIONS | Lazima ni kweli | lazima ni kweli | It must be true | Modal auxiliary + copula + truth predicate: **MODAL ni PRED**. General modal pattern not specific to truth domain. Common modals: **lazima** (must), **inawezekana** (it's possible), **labda** (perhaps). Modals precede copular construction. | [CORE] |
| MODAL CONSTRUCTIONS | Inawezekana ni kweli | i-na-wezekana ni kweli | It's possible it's true, it may be true | Modal auxiliary + copula + truth predicate: **MODAL ni PRED**. General modal pattern not specific to truth domain. Common modals: **lazima** (must), **inawezekana** (it's possible), **labda** (perhaps). Modals precede copular construction. | [CORE] |
| PROVERBS AND FIXED EXPRESSIONS | Ukweli ni uchungu | ukweli ni uchungu | Truth is bitter (proverb) | Fixed formulaic expressions with truth vocabulary, often metaphorical. Culturally specific fixed expressions. Common structure: **ukweli + copula/verb + metaphorical predicate**. Used in moral instruction and philosophical discourse. Not productive patterns. | [MARGINAL] |
| PROVERBS AND FIXED EXPRESSIONS | Ukweli hauna miguu | ukweli ha-u-na miguu | Truth has no legs (proverb: truth doesn't run away) | Fixed formulaic expressions with truth vocabulary, often metaphorical. Culturally specific fixed expressions. Common structure: **ukweli + copula/verb + metaphorical predicate**. Used in moral instruction and philosophical discourse. Not productive patterns. | [MARGINAL] |
| CAUSAL/REASON CONSTRUCTIONS | Kwa sababu ni kweli | kwa sababu ni kweli | because it's true | **kwa sababu + truth predicate**: causal clause with truth as reason. General causal pattern using **kwa sababu** (because) or **kwa sababu ya** (because of). Truth predicates function as reasons in justifications and explanations. | [CORE] |
| CAUSAL/REASON CONSTRUCTIONS | Kwa sababu ya ukweli | kwa sababu ya ukweli | because of the truth | **kwa sababu + truth predicate**: causal clause with truth as reason. General causal pattern using **kwa sababu** (because) or **kwa sababu ya** (because of). Truth predicates function as reasons in justifications and explanations. | [CORE] |
| CONCESSIVE CONSTRUCTIONS | Ingawa ni kweli | ingawa ni kweli | although it's true | **ingawa/hata kama + truth predicate**: concessive clause acknowledging truth while contrasting. General concessive pattern not specific to truth domain. **Ingawa** (although) introduces factual concession; **hata kama** (even if) introduces hypothetical concession. Common in argumentative discourse. | [CORE] |
| CONCESSIVE CONSTRUCTIONS | Hata kama ni kweli | hata kama ni kweli | even if it's true | **ingawa/hata kama + truth predicate**: concessive clause acknowledging truth while contrasting. General concessive pattern not specific to truth domain. **Ingawa** (although) introduces factual concession; **hata kama** (even if) introduces hypothetical concession. Common in argumentative discourse. | [CORE] |
| RECIPROCAL CONSTRUCTIONS | Hojiana | hoji-ana | to argue with each other, to debate | Verb root + reciprocal suffix **-ana**: **ROOT-ana**. Limited productivity in truth domain. Reciprocal derivation limited to argument/debate vocabulary. **Hojiana** (from **hoja** "argument") common for mutual argumentation. No productive reciprocal forms for truth-telling or verification actions. | [CORE] |
