# CLCA Protocol v3.4 — P4b CONSTRUCTION USAGE & CONSTRAINTS
**Language: English (en)**

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes | Attested Alternates |
| **5. CAUSATIVE** | *New evidence falsified the hypothesis.* | N/A | New evidence showed the hypothesis to be false. | [CORE] | Strongly associated with scientific and philosophical discourse (Popperian falsificationism); less common in everyday speech. | *New evidence disproved the hypothesis.* (more general, less technical); *New evidence refuted the hypothesis.* (common in academic writing, though contested in strict logical usage) |
| **6. ABSTRACT NOMINALIZATION** | *The authenticity of the painting was disputed.* | N/A | Whether the painting was genuine was disputed. | [CORE] | Common in formal, written, and academic registers. Nominalization allows the truth-domain property to function as a subject or object of discourse. | *Whether the painting was genuine was disputed.* (clausal paraphrase, more informal) |
| **6. ABSTRACT NOMINALIZATION** | *The validity of the argument depends on its premises.* | N/A | Whether the argument's conclusion follows from its premises depends on those premises. | [CORE] | Strongly associated with logical, philosophical, and academic registers. *Validity* in the strict logical sense is a term of art; in looser usage it extends to general soundness or acceptability. | *The soundness of the argument…* (overlapping but distinct technical term); *Whether the argument is valid…* (clausal paraphrase) |
| **7. AGENTIVE NOMINALIZATION** | *She was known as a truth-teller who never softened difficult facts.* | N/A | She was known as a person who consistently told the truth regardless of consequences. | [MARGINAL] | *Truth-teller* is attested but less frequent than synonyms; it carries a marked, often evaluative or literary tone. More common in political commentary and journalism than in everyday speech. | *She was known as an honest person.* (more common, less marked); *She was known for her candor.* (abstract nominalization preferred in formal registers) |
| **7. AGENTIVE NOMINALIZATION** | *The counterfeiter was arrested with printing equipment.* | N/A | The person who made fraudulent imitation currency was arrested. | [CORE] | *Counterfeiter* is the standard, unmarked term in legal and journalistic registers for this referent. No notable restriction. | *The forger was arrested.* (overlapping, but *forger* more commonly applies to documents); *The fraudster was arrested.* (broader, less specific) |
| **8. DEGREE AND HEDGING MODIFICATION** | *The account is broadly accurate but omits several key facts.* | N/A | The account is correct in its main outlines but not in every detail. | [CORE] | Common in journalistic, academic, and analytical registers where nuanced assessment is expected. The adverb *broadly* is particularly frequent in this hedging function. | *The account is largely accurate…* (near-synonym, equally common); *The account is mostly correct…* (more informal) |
| **8. DEGREE AND HEDGING MODIFICATION** | *There is a grain of truth in what he says.* | N/A | What he says contains a small element of accuracy. | [CORE] | Idiomatic and frequent in spoken and informal written registers. Restricted to the nominal *truth*; the construction does not extend to *accuracy* or *correctness*. | *There is some truth in what he says.* (less idiomatic, more transparent); *What he says is partially true.* (more analytic paraphrase) |
| **9. DISCOURSE-MARKER CONSTRUCTIONS** | *To be honest, I was not convinced by the argument.* | N/A | Speaking candidly, I was not convinced by the argument. | [CORE] | Very frequent in spoken and informal written registers as a candor-framing device. Functions as a sentence adverbial with no grammatical restriction on the following clause type. | *Honestly, I was not convinced.* (more informal, clipped); *Frankly, I was not convinced.* (slightly more formal) |
| **9. DISCOURSE-MARKER CONSTRUCTIONS** | *Truth be told, the project was already failing before she arrived.* | N/A | If I am being frank, the project was already failing before she arrived. | [MARGINAL] | Less frequent than *to be honest* or *to tell the truth*; carries a slightly literary or emphatic tone. The subjunctive *be* marks it as a fixed expression. More common in written than spoken registers. | *To tell the truth, the project…* (more common spoken variant); *In truth, the project…* (more formal, written) |
| **10. LEGAL AND PROCEDURAL FIXED PHRASES** | *She obtained the funds under false pretenses.* | N/A | She obtained the funds by misrepresenting her identity or intentions. | [CORE] | Standard legal and journalistic fixed phrase; fully lexicalized. Appears in criminal law contexts and in journalistic reporting on fraud. Not productive outside this register. | *She obtained the funds by fraud.* (more general legal term); *She obtained the funds by deception.* (broader, less fixed) |
| **10. LEGAL AND PROCEDURAL FIXED PHRASES** | *The court found no genuine issue of material fact and granted summary judgment.* | N/A | The court found no real factual dispute requiring a trial and ruled in the moving party's favor. | [MARGINAL] | Highly register-restricted: this is a term of art in U.S. civil procedure (Federal Rule of Civil Procedure 56) and is not used outside legal contexts. Meaning is not fully compositional from ordinary senses of *genuine*, *issue*, *material*, and *fact*. | *The court found no triable issue of fact.* (alternate legal formulation used in some jurisdictions); no non-legal alternate exists |

---

*End of P4b CONSTRUCTION USAGE & CONSTRAINTS — English (en)*
