| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | 伪造者 | wěizàozhě | forger; falsifier | Attested and natural in formal contexts, but it does not form a broad productive everyday pair matching “liar / truth-teller.” Agent reference in this semantic area is often lexical or paraphrastic rather than built from the listed adjectives. Alternate constructions attested: 说真话的人. | [MARGINAL] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | 说真话的人 | shuō zhēnhuà de rén | a person who tells the truth | Very natural as a descriptive paraphrase in ordinary language. It is not a compact lexicalized agent noun, but it is the normal way to express this meaning when needed. Alternate constructions attested: 伪造者. | [CORE] |
| VERIDICAL REPORTING / SPEECH-ACT MANNER | 请如实回答。 | qǐng rúshí huídá. | Please answer truthfully. | Highly natural in formal, institutional, legal, and administrative settings. 如实 strongly prefers reporting or response verbs and is less conversational than discourse-framing expressions. Alternate constructions attested: 如实 + V / 说实话 / 说真的. | [CORE] |
| VERIDICAL REPORTING / SPEECH-ACT MANNER | 说实话，我不太相信。 | shuō shíhuà, wǒ bù tài xiāngxìn. | To tell the truth, I don’t quite believe it. | Very common in conversation as a discourse marker introducing frankness or personal stance. Compared with 如实, it is less about official factual reporting and more about speaker framing. Alternate constructions attested: 如实 + V / 说实话 / 说真的. | [CORE] |
| VERIFICATION / OFFICIAL FINDING | 举报内容属实。 | jǔbào nèiróng shǔshí. | The reported content has been verified as true. | Strongly conventional in official, legal, journalistic, and administrative language. 属实 is specialized and most natural with allegations, reports, complaints, or investigated content rather than casual everyday topics. Alternate constructions attested: X + 属实 / 经查属实 / 查证属实 / 是否属实. | [CORE] |
| VERIFICATION / OFFICIAL FINDING | 尚未证实是否属实。 | shàngwèi zhèngshí shìfǒu shǔshí. | It has not yet been confirmed whether it is true. | Very natural in formal reporting where verification status is being explicitly stated. This construction is especially common with investigation or confirmation verbs and in cautious institutional wording. Alternate constructions attested: X + 属实 / 经查属实 / 查证属实 / 是否属实. | [CORE] |
| FALSEHOOD / FABRICATION EVENT | 发布虚假信息。 | fābù xūjiǎ xìnxī. | Disseminate false information. | Very common in media, legal, regulatory, and public-information contexts. Chinese often prefers this eventive lexical expression over a causativized adjective when describing acts of misinformation. Alternate constructions attested: V + 虚假信息/事实/证件; 伪造 + N; 弄虚作假. | [CORE] |
| FALSEHOOD / FABRICATION EVENT | 伪造证件。 | wěizào zhèngjiàn. | Forge documents. | Highly natural and lexicalized for deliberate falsification of documents or objects. More specific than general truth-value predication, and strongly associated with fraud or criminal contexts. Alternate constructions attested: V + 虚假信息/事实/证件; 伪造 + N; 弄虚作假. | [CORE] |
| ESSENTIAL / SUBSTANTIVE FRAMING | 从本质上看，这是同一个问题。 | cóng běnzhì shàng kàn, zhè shì tóng yí gè wèntí. | Essentially, this is the same problem. | Common in analytical, argumentative, and formal discourse when reframing an issue at a deeper level. It is less about factual truth directly and more about underlying nature or essence. Alternate constructions attested: 从本质上看 / 从实质上看 / X + 的本质 / 没有实质区别. | [CORE] |
| ESSENTIAL / SUBSTANTIVE FRAMING | 两者没有实质区别。 | liǎngzhě méiyǒu shízhì qūbié. | There is no substantive difference between the two. | Very natural in formal comparison, policy, legal, and analytical writing. 实质 commonly appears in evaluative judgments about whether a difference is meaningful or substantive. Alternate constructions attested: 从本质上看 / 从实质上看 / X + 的本质 / 没有实质区别. | [CORE] |
