| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
| 伪造 | 伪造品 | wěizàopǐn | 伪造 “forged” + 品 “item; product” | forged item; counterfeit article | Used for objects produced by forgery, especially in art, documents, and branded goods. It is established but somewhat more formal than 假货. | [CORE] |
| 伪造 | 伪造罪 | wěizàozuì | 伪造 “forgery; forge” + 罪 “crime; offense” | crime of forgery | Legal term used in criminal law contexts for offenses involving forged documents, seals, currency, and related materials. | [CORE] |
| 仿真 | 仿真度 | fǎngzhēndù | 仿真 “simulation; lifelike imitation” + 度 “degree” | degree of realism; simulation fidelity | Common in engineering, design, gaming, and product description for how closely something resembles reality. It is especially natural in technical and commercial contexts. | [CORE] |
| 仿真 | 仿真器 | fǎngzhēnqì | 仿真 “simulate” + 器 “device; instrument” | simulator | Standard technical term for a device or system used to simulate real conditions or processes. Common in engineering, computing, and training environments. | [CORE] |
| 仿真 | 仿真技术 | fǎngzhēn jìshù | 仿真 “simulation” + 技术 “technology” | simulation technology | Common technical collocation for methods and technologies used to model or reproduce real-world processes. This is a phrase-level extension rather than a tightly lexicalized single word. | [CORE] |
| 逼真 | 逼真地 | bīzhēn de | 逼真 “lifelike” + 地 adverbial marker | vividly; lifelike-ly; realistically | Common adverbial use for describing how something is portrayed or reproduced, as in 逼真地再现. It is fully natural in descriptive writing. | [CORE] |
| 逼真 | 逼真感 | bīzhēngǎn | 逼真 “lifelike” + 感 “sense; feeling” | sense of realism | Used in media, design, and aesthetic evaluation for the felt realism of an image, model, or performance. It is attested but less fixed than 真实感. | [MARGINAL] |
| 名副其实 | (no common derivation identified) |  |  |  |  |  |
| 货真价实 | (no common derivation identified) |  |  |  |  |  |
| 如实 | 如实地 | rúshí de | 如实 “according to the facts” + 地 adverbial marker | truthfully; faithfully to the facts | Common adverbial form in formal and semi-formal writing, especially before verbs like 反映, 陈述, 汇报. It is a straightforward attested extension of the adverbial base. | [CORE] |
| 如实 | 如实反映 | rúshí fǎnyìng | 如实 “truthfully” + 反映 “reflect; report” | reflect/report truthfully | Very common official and journalistic collocation. It is phrase-level rather than an independent lexical derivative, but strongly established in use. | [CORE] |
| 如实 | 如实陈述 | rúshí chénshù | 如实 “truthfully” + 陈述 “state” | state truthfully | Common in legal, administrative, and investigative contexts. It is a highly conventional collocation with testimony and reporting. | [CORE] |
| 失真 | 失真度 | shīzhēndù | 失真 “distortion; lose fidelity” + 度 “degree” | degree of distortion | Common in audio, imaging, and technical evaluation for how much a signal or representation departs from the original. | [CORE] |
| 失真 | 失真性 | shīzhēnxìng | 失真 “distorted” + 性 “-ness; property” | distortive character; distortion | Used in technical and analytical writing for the property of being distorted or unfaithful to the original. Less common than 失真度. | [MARGINAL] |
| 本质 | 本质上 | běnzhì shàng | 本质 “essence” + 上 “on; in terms of” | essentially; in essence | Very common adverbial expression in analytical and argumentative writing. It introduces claims about the fundamental nature of something. | [CORE] |
| 本质 | 本质性 | běnzhìxìng | 本质 “essential” + 性 “-ness; property” | essentiality; essential character | Common in philosophy, criticism, and formal analysis for the quality of being essential or fundamental. | [CORE] |
| 实质 | 实质上 | shízhì shàng | 实质 “substance” + 上 “on; in terms of” | in substance; essentially | Very common in formal analysis, law, and policy discussion for focusing on actual substance rather than form. | [CORE] |
| 实质 | 实质性 | shízhìxìng | 实质 “substantive” + 性 “-ness; property” | substantive; substantial | Very common in legal, political, and academic writing, as in 实质性进展 “substantive progress.” It refers to real, non-formal significance or content. | [CORE] |
| 正当 | 正当性 | zhèngdàngxìng | 正当 “legitimate; justified” + 性 “-ness; property” | legitimacy; justifiability | Very common in legal, political, and philosophical discussion for the legitimacy of actions, institutions, claims, or procedures. | [CORE] |
| 正当 | 正当地 | zhèngdàng de | 正当 “proper; justified” + 地 adverbial marker | properly; legitimately | Attested in formal writing for acting or proceeding in a justified or proper way. Less lexicalized than 正当性 but fully normal. | [CORE] |
| 不实 | 不实之词 | bùshí zhī cí | 不实 “untrue” + 之 + 词 “words; claims” | false claims; unfounded words | Common formal written expression in rebuttals, legal writing, and media statements. It is phrase-level and somewhat literary in tone. | [CORE] |
| 不实 | 不实信息 | bùshí xìnxī | 不实 “untrue” + 信息 “information” | false information | Very common in media regulation, online governance, and public notices. This is a strong collocational extension rather than a standalone morphological derivative. | [CORE] |
| 冒牌 | 冒牌货 | màopáihuò | 冒牌 “counterfeit; bogus” + 货 “goods; thing” | counterfeit item; fake; impostor | Very common in consumer contexts for fake goods and figuratively for bogus people or credentials. It is one of the most established extensions of 冒牌. | [CORE] |
| 冒牌 | 冒牌产品 | màopái chǎnpǐn | 冒牌 “counterfeit” + 产品 “product” | counterfeit product | Common in consumer protection and media reporting. This is a phrase-level extension rather than a tightly lexicalized derivative. | [CORE] |
| 原汁原味 | (no common derivation identified) |  |  |  |  |  |
| 道地 | 道地药材 | dàodì yàocái | 道地 “authentic to origin” + 药材 “medicinal material” | genuine medicinal materials of authentic origin | Highly established collocation in traditional Chinese medicine for medicinal materials regarded as authentic to a particular producing region. This is phrase-level and domain-specific. | [CORE] |
| 道地 | 道地性 | dàodìxìng | 道地 “authentic to origin” + 性 “-ness; property” | authenticity of origin; geo-authentic character | Attested in specialist writing, especially on medicinal materials and regional products. It is technical and much narrower than the base adjective. | [MARGINAL] |
