| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
| 10 | 尚未证实是否属实。 | shàngwèi zhèngshí shìfǒu shǔshí. | [CORE] | For **属实**, Chinese usually does **not** use a common everyday “become true” pattern like *变得属实*. Instead, the language prefers **verification constructions** such as **属实 / 经查属实 / 查证属实 / 尚未证实是否属实**. So here the dynamic meaning is encoded as a **change in verification status**, not as an ordinary adjectival change-of-state. |
| 11 | 压缩过度会让图像失真。 | yāsuō guòdù huì ràng túxiàng shīzhēn. | [CORE] | Chinese commonly uses **使 / 让** for causation. This is especially natural with **失真, 不可信, 不准确** and similar evaluative states. The result can also be expressed analytically with **变得** after the causative verb. |
| 12 | 这则谣言使事实变得不清楚。 | zhè zé yáoyán shǐ shìshí biàn de bù qīngchu. | [CORE] | Chinese commonly uses **使 / 让** for causation. This is especially natural with **失真, 不可信, 不准确** and similar evaluative states. The result can also be expressed analytically with **变得** after the causative verb. |
| 13 | 这段话让这一说法变得不太可信。 | zhè duàn huà ràng zhè yī shuōfǎ biàn de bù tài kěxìn. | [CORE] | Chinese commonly uses **使 / 让** for causation. This is especially natural with **失真, 不可信, 不准确** and similar evaluative states. The result can also be expressed analytically with **变得** after the causative verb. |
| 14 | 发布虚假信息。 | fābù xūjiǎ xìnxī. | [CORE] | Chinese often expresses caused falsity not by “make X false” but by an **eventive lexical verb**: - **发布虚假信息** - **伪造事实** - **伪造证件** - **弄虚作假** These are more natural than a purely adjectival causative paraphrase in many contexts. |
| 15 | 伪造事实。 | wěizào shìshí. | [CORE] | Chinese often expresses caused falsity not by “make X false” but by an **eventive lexical verb**: - **发布虚假信息** - **伪造事实** - **伪造证件** - **弄虚作假** These are more natural than a purely adjectival causative paraphrase in many contexts. |
| 16 | 伪造证件。 | wěizào zhèngjiàn. | [CORE] | Chinese often expresses caused falsity not by “make X false” but by an **eventive lexical verb**: - **发布虚假信息** - **伪造事实** - **伪造证件** - **弄虚作假** These are more natural than a purely adjectival causative paraphrase in many contexts. |
| 17 | 弄虚作假。 | nòng xū zuò jiǎ. | [CORE] | Chinese often expresses caused falsity not by “make X false” but by an **eventive lexical verb**: - **发布虚假信息** - **伪造事实** - **伪造证件** - **弄虚作假** These are more natural than a purely adjectival causative paraphrase in many contexts. |
| 18 | 纠正错误。 | jiūzhèng cuòwù. | [CORE] | For **正确 / 错误**, Chinese has a strong lexical dynamic pair: - **犯错误** - **承认错误** - **纠正错误** Among these, **纠正错误** is the clearest causative movement toward a correct state. A plain causative like “make X correct” is less idiomatic than using **纠正**. |
| 19 | 这个答案后来变得正确了。 | zhège dá’àn hòulái biàn de zhèngquè le. | [CORE] | For **正确 / 错误**, Chinese has a strong lexical dynamic pair: - **犯错误** - **承认错误** - **纠正错误** Among these, **纠正错误** is the clearest causative movement toward a correct state. A plain causative like “make X correct” is less idiomatic than using **纠正**. |
| 20 | 表达修改后变得更准确。 | biǎodá xiūgǎi hòu biàn de gèng zhǔnquè. | [CORE] | For **正确 / 错误**, Chinese has a strong lexical dynamic pair: - **犯错误** - **承认错误** - **纠正错误** Among these, **纠正错误** is the clearest causative movement toward a correct state. A plain causative like “make X correct” is less idiomatic than using **纠正**. |
| 21 | 他犯错误了。 | tā fàn cuòwù le. | [CORE] | Here Chinese often uses **lexical event expressions** rather than simple state-change adjectives. **犯错误** encodes entry into an error event/state. **承认错误** encodes recognition of that state. **纠正错误** encodes removal of that state. |
| 22 | 他承认错误。 | tā chéngrèn cuòwù. | [CORE] | Here Chinese often uses **lexical event expressions** rather than simple state-change adjectives. **犯错误** encodes entry into an error event/state. **承认错误** encodes recognition of that state. **纠正错误** encodes removal of that state. |
| 23 | 老师纠正错误。 | lǎoshī jiūzhèng cuòwù. | [CORE] | Here Chinese often uses **lexical event expressions** rather than simple state-change adjectives. **犯错误** encodes entry into an error event/state. **承认错误** encodes recognition of that state. **纠正错误** encodes removal of that state. |
| 24 | 请如实回答。 | qǐng rúshí huídá. | [CORE] | This is not a change-of-state pattern, but it is a key **dynamic action pattern** in the truth domain. Chinese often encodes truth not as “be true” but as **act in accordance with facts**. **如实** strongly prefers reporting verbs and is especially common in legal, administrative, and investigative contexts. |
| 25 | 如实报告。 | rúshí bàogào. | [CORE] | This is not a change-of-state pattern, but it is a key **dynamic action pattern** in the truth domain. Chinese often encodes truth not as “be true” but as **act in accordance with facts**. **如实** strongly prefers reporting verbs and is especially common in legal, administrative, and investigative contexts. |
| 26 | 如实说明情况。 | rúshí shuōmíng qíngkuàng. | [CORE] | This is not a change-of-state pattern, but it is a key **dynamic action pattern** in the truth domain. Chinese often encodes truth not as “be true” but as **act in accordance with facts**. **如实** strongly prefers reporting verbs and is especially common in legal, administrative, and investigative contexts. |
| 27 | 如实陈述。 | rúshí chénshù. | [CORE] | This is not a change-of-state pattern, but it is a key **dynamic action pattern** in the truth domain. Chinese often encodes truth not as “be true” but as **act in accordance with facts**. **如实** strongly prefers reporting verbs and is especially common in legal, administrative, and investigative contexts. |
| 28 | 这是真的。 | zhè shì zhēn de. | [CORE] | Chinese also encodes stability through emphatic or proverbial expressions. Especially notable is: - **千真万确**: strong assertion of stable truth - **假的真不了，真的假不了**: explicit statement that truth and falsity do not ultimately reverse This last expression directly comments on resistance to change between opposed truth states. |
| 29 | 这个消息很可靠。 | zhège xiāoxi hěn kěkào. | [CORE] | Chinese also encodes stability through emphatic or proverbial expressions. Especially notable is: - **千真万确**: strong assertion of stable truth - **假的真不了，真的假不了**: explicit statement that truth and falsity do not ultimately reverse This last expression directly comments on resistance to change between opposed truth states. |
| 30 | 千真万确。 | qiān zhēn wàn què. | [CORE] | Chinese also encodes stability through emphatic or proverbial expressions. Especially notable is: - **千真万确**: strong assertion of stable truth - **假的真不了，真的假不了**: explicit statement that truth and falsity do not ultimately reverse This last expression directly comments on resistance to change between opposed truth states. |
| 31 | 假的真不了，真的假不了。 | jiǎ de zhēn bù liǎo, zhēn de jiǎ bù liǎo. | [CORE] | Chinese also encodes stability through emphatic or proverbial expressions. Especially notable is: - **千真万确**: strong assertion of stable truth - **假的真不了，真的假不了**: explicit statement that truth and falsity do not ultimately reverse This last expression directly comments on resistance to change between opposed truth states. |
| 32 | 效果很逼真。 | xiàoguǒ hěn bīzhēn. | [CORE] | With **仿真 / 逼真**, the dynamic is often not “become true” but “approach the appearance of truth.” The idiom **以假乱真** is especially important: it encodes a situation where falsity becomes hard to distinguish from genuineness, without actually becoming genuine. |
| 33 | 这个模型高仿真。 | zhège móxíng gāo fǎngzhēn. | [CORE] | With **仿真 / 逼真**, the dynamic is often not “become true” but “approach the appearance of truth.” The idiom **以假乱真** is especially important: it encodes a situation where falsity becomes hard to distinguish from genuineness, without actually becoming genuine. |
| 34 | 这种东西可以以假乱真。 | zhè zhǒng dōngxi kěyǐ yǐ jiǎ luàn zhēn. | [CORE] | With **仿真 / 逼真**, the dynamic is often not “become true” but “approach the appearance of truth.” The idiom **以假乱真** is especially important: it encodes a situation where falsity becomes hard to distinguish from genuineness, without actually becoming genuine. |
| 35 | *变得属实* | — | **No common everyday expression identified** | **属实** is normally tied to verification formulas such as: - **属实** - **经查属实** - **查证属实** - **是否属实** So its dynamics are expressed through **investigation and confirmation**, not ordinary change-of-state or causative patterns. |
| 36 | *让X属实* | — | **No common everyday expression identified** | **属实** is normally tied to verification formulas such as: - **属实** - **经查属实** - **查证属实** - **是否属实** So its dynamics are expressed through **investigation and confirmation**, not ordinary change-of-state or causative patterns. |
| 37 | *让X名副其实* | — | **No strongly established general causative pattern identified** | These expressions are mainly used as **evaluative result states** or fixed descriptions: - 名副其实的专家 - 东西货真价实 - 保留原汁原味 - 味道很道地 Among them, **保留原汁原味** is dynamic in the sense of preservation, but not a general “become/cause to become” truth-state pattern. |
| 38 | *让X货真价实* | — | **No strongly established general causative pattern identified** | These expressions are mainly used as **evaluative result states** or fixed descriptions: - 名副其实的专家 - 东西货真价实 - 保留原汁原味 - 味道很道地 Among them, **保留原汁原味** is dynamic in the sense of preservation, but not a general “become/cause to become” truth-state pattern. |
| 39 | *让X原汁原味* | — | **No strongly established general causative pattern identified** | These expressions are mainly used as **evaluative result states** or fixed descriptions: - 名副其实的专家 - 东西货真价实 - 保留原汁原味 - 味道很道地 Among them, **保留原汁原味** is dynamic in the sense of preservation, but not a general “become/cause to become” truth-state pattern. |
| 40 | *让X道地* | — | **No strongly established general causative pattern identified** | These expressions are mainly used as **evaluative result states** or fixed descriptions: - 名副其实的专家 - 东西货真价实 - 保留原汁原味 - 味道很道地 Among them, **保留原汁原味** is dynamic in the sense of preservation, but not a general “become/cause to become” truth-state pattern. |
