| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| 真话 | 假话 | zhēnhuà / jiǎhuà | truthful words / lies; falsehoods | The dataset explicitly notes 真话 as often contrasted with 假话. This is a direct lexical opposition between truthful and false speech. | lexical | [CORE] |
| 真品 | 假货 | zhēnpǐn / jiǎhuò | genuine article / counterfeit goods | In commercial and appraisal contexts, 真品 refers to authentic items, while 假货 refers to counterfeit ones. The contrast is clearly supported in usage notes and semantic grouping around genuine versus fake goods. | lexical | [CORE] |
| 正品 | 冒牌 / 冒牌货 | zhèngpǐn / màopái / màopáihuò | genuine product / counterfeit; bogus / counterfeit item | 正品 denotes authentic goods, while 冒牌 and 冒牌货 denote goods or identities falsely passed off as genuine. This opposition is explicitly supported in the root expansion and semantic grouping sections. | lexical | [CORE] |
| 正牌 | 冒牌 | zhèngpái / màopái | genuine brand; legitimate / counterfeit; bogus | The root expansion explicitly states that 正牌 is common in contrast with 冒牌. The opposition concerns legitimate branded or recognized status versus false passing-off. | lexical | [CORE] |
| 真伪 | 真假 | zhēnwěi / zhēnjiǎ | authenticity; true or false / true and false; authenticity | These are not opposites to each other, but each is an oppositional structure internally built on true-versus-false contrast. The dataset explicitly describes both as paired forms for distinguishing authenticity, with 真伪 more formal and 真假 more colloquial. | constructional | [CORE] |
| 经查属实 | 尚未证实是否属实 | jīng chá shǔshí / shàngwèi zhèngshí shìfǒu shǔshí | verified as true upon investigation / it has not yet been confirmed whether it is true | These constructions contrast confirmed factuality with unresolved verification status. The opposition is not lexical antonymy but a constructional contrast between verified truth and not-yet-verified truth. | constructional | [CORE] |
| 如实 | 弄虚作假 | rúshí / nòng xū zuò jiǎ | truthfully; according to the facts / engage in fraud; falsify | 如实 marks reporting according to facts, while 弄虚作假 denotes deliberate falsification. The contrast is supported across reporting and fraud-related constructions as truthful reporting versus deceptive fabrication. | lexical | [CORE] |
| 伪造 | 真迹 | wěizào / zhēnjì | forge; falsify / authentic work; original handwriting | In art, document, and forensic contexts, 伪造 refers to producing false items, while 真迹 refers to an authentic original by the actual creator. The opposition is clearly supported by the appraisal and forgery material. | lexical | [CORE] |
| 仿真 / 逼真 | 真 / 真实 | fǎngzhēn / bīzhēn / zhēn / zhēnshí | simulation; lifelike / lifelike; realistic / real; true / real; true | 仿真 and 逼真 concern close resemblance to reality, while 真 and 真实 concern actual genuineness or factual reality. The dataset explicitly notes that 仿真 and 逼真 evaluate resemblance rather than actual truth or authenticity. | lexical | [CORE] |
| 失真 | 真实 / 真实感 | shīzhēn / zhēnshí / zhēnshígǎn | distortion; lose fidelity / real; true / sense of reality | 失真 marks loss of fidelity to an original, while 真实 and 真实感 concern faithful reality or the sense of reality. The contrast is supported in the semantic grouping on representation fidelity and realism. | lexical | [CORE] |
| 本质 | 实质 | běnzhì / shízhì | essence / substance; actual nature | (no clear opposition identified) | constructional | [CORE] |
| 从本质上看 | 从实质上看 | cóng běnzhì shàng kàn / cóng shízhì shàng kàn | essentially speaking / in substance; substantively speaking | (no clear opposition identified) | constructional | [CORE] |
| 正当 | 错误 | zhèngdàng / cuòwù | proper; legitimate; justified / wrong; erroneous; mistaken | (no clear opposition identified) | lexical | [UNCERTAIN] |
