| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
| πραγματικότητα | φαινόμενο / appearance-side values as described in context | *pragmatikótita* — | reality — appearance | The context explicitly says *πραγματικότητα* refers to reality “as opposed to appearance, illusion, or representation.” The opposition is clearly present semantically even where the counterpart is described rather than listed as a single P1 item. | lexical | [CORE] |
| ουσία | τύπος | *ousía* — *týpos* | substance/essence — form | The pair *ουσία και τύπος* is directly attested and described as a common contrast in law, philosophy, criticism, and public discourse. It opposes what is substantive to what is merely formal. | lexical | [CORE] |
| κατ’ ουσίαν | κατά γράμμα | *kat’ ousían* — *katá grámma* | in substance / essentially — according to the letter / literally | The data supports this as a contrast between substantive meaning and exact wording. One focuses on essence or real import, the other on literal verbal correspondence. | lexical | [CORE] |
| στην ουσία | details / surface detail | *stin ousía* — | essentially / at the core — details | The context repeatedly describes *στην ουσία* as shifting attention from details to the main point. This is a supported opposition between the core issue and peripheral detail. | constructional | [CORE] |
| επί της ουσίας | procedural or peripheral matters | *epí tis ousías* — | on the substance / on the merits — procedural or peripheral matters | The materials explicitly state that *επί της ουσίας* distinguishes substantive discussion from procedural or peripheral matters. The opposition is constructionally supported in legal and formal argumentation. | constructional | [CORE] |
| αυθεντικός / γνήσιος | πλαστός | *afthentikós / gnísios* — *plastós* | authentic / genuine — fake / forged / counterfeit | The data repeatedly contrasts authenticity and genuineness with fake or forged status. *Πλαστός* strongly marks lack of genuineness, especially for documents, signatures, goods, and evidence. | lexical | [CORE] |
| γνησιότητα / αυθεντικότητα | παραποίηση / πλαστογραφία / πλαστότητα | *gnisiótita / afthentikótita* — *parapoíisi / plastografía / plastótita* | genuineness / authenticity — falsification / forgery / forged nature | The context supports a clear opposition between being genuine and being falsified or forged. This is especially strong in legal, forensic, archival, and commercial settings. | lexical | [CORE] |
| γνήσια υπογραφή | πλαστή υπογραφή | *gnísia ypografí* — *plastí ypografí* | genuine signature — forged signature | Both expressions are directly attested and form a clear practical opposition in legal and administrative contexts. The contrast is between authentic authorship and forgery. | lexical | [CORE] |
| αυθεντικό έγγραφο | παραποιημένο έγγραφο / πλαστό έγγραφο | *afthentikó éngrafo* — *parapoïiméno éngrafo / plastó éngrafo* | authentic document — falsified / forged document | The data supports this opposition through attested document-related phrases. It contrasts genuine documentary status with deceptive alteration or fabrication. | lexical | [CORE] |
| πιστός στο πρωτότυπο | κατά γράμμα | *pistós sto protótypo* — *katá grámma* | faithful to the original — to the letter / literally | The materials distinguish broader fidelity to an original from strict literal/verbatim correspondence. This is a supported contrast in translation, interpretation, and representation. | lexical | [CORE] |
| πιστός / πιστότητα | απαράλλακτος / κατά γράμμα | *pistós / pistótita* — *aparállaktos / katá grámma* | faithful / fidelity — identical / exact / to the letter | The context supports a distinction between faithful correspondence and exact sameness or literal reproduction. Fidelity allows correspondence to an original, while *απαράλλακτος* and *κατά γράμμα* stress strict identity or exact wording. | lexical | [CORE] |
| παραποιημένος | πλαστός | *parapoïiménos* — *plastós* | falsified / tampered with — fake / forged / counterfeit | The data explicitly notes a difference: *παραποιημένος* often stresses deceptive alteration of something existing, while *πλαστός* often points to fake or forged status more generally. This is a supported lexical contrast within the falsification area. | lexical | [CORE] |
| σωστός | ορθός | *sostós* — *orthós* | correct/right — correct/proper | The materials repeatedly contrast these as overlapping but register-differentiated terms: *σωστός* is broader and more colloquial, while *ορθός* is more formal, technical, or elevated. This is a supported lexical opposition of usage profile rather than opposite meaning. | lexical | [CORE] |
| αληθινός | αληθής | *alithinós* — *alithís* | true/genuine/real — true/correct | The context explicitly distinguishes these: *αληθινός* is common for genuineness and authenticity in people, feelings, stories, and objects, while *αληθής* is more formal and proposition-oriented. This is a supported lexical contrast in usage and semantic focus. | lexical | [CORE] |
| ειλικρινής / ειλικρίνεια | ψέμα / λέω ψέματα | *eilikrinís / eilikríneia* — *pséma / léo psémata* | sincere / sincerity — lie / tell lies | The data supports this as an interpersonal contrast: sincerity concerns candid, non-deceptive expression, while *ψέμα* and *λέω ψέματα* mark deception. The notes explicitly place them in neighboring but distinct evaluative areas. | lexical | [CORE] |
| αληθινός φίλος | πιστός φίλος | *alithinós fílos* — *pistós fílos* | true friend — faithful/loyal friend | The context supports a distinction rather than strict antonymy: *αληθινός φίλος* emphasizes authenticity and depth of relationship, while *πιστός φίλος* emphasizes loyalty. This is a lexical contrast in evaluative focus. | lexical | [CORE] |
