1. **αλήθεια**  
    **Typical English translations:** faithful, loyal; accurate

    **Usage:** Most commonly refers to loyalty or faithfulness, but it is also used for faithful reproduction or accurate rendering, as in translation or depiction. In that latter use it evaluates resemblance and fidelity to an original.  
    **Epistemic status:** [CORE]

21. **πιστότητα**  
    **Transliteration:** pistótita  
    **Literal meaning / morphology:** from *πιστός* + abstract suffix; “fidelity”  
    **Typical English translations:** fidelity, faithfulness, accuracy

    **Usage:** Used for fidelity in representation, reproduction, translation, or sound/image quality, as well as in interpersonal loyalty. It is especially relevant where one judges how closely something corresponds to an original.  
    **Epistemic status:** [CORE]

22. **απαράλλακτος**  
    **Transliteration:** aparállaktos  
    **Literal meaning / morphology:** “unchanged, unaltered”  
    **Typical English translations:** identical, exact, unaltered

    **Usage:** Used when something is reproduced or repeated exactly, without variation. It appears in formal and literary contexts, often to stress exact sameness or strict fidelity.  
    **Epistemic status:** [CORE]

23. **παραποιημένος**  
    **Transliteration:** parapoïiménos  
    **Literal meaning / morphology:** participial form from *παραποιώ* “to falsify, alter”  
    **Typical English translations:** falsified, tampered with, forged

    **Usage:** Used for documents, evidence, data, products, or representations that have been altered in a deceptive way. It is common in legal, journalistic, and administrative contexts involving authenticity and reliability.  
    **Epistemic status:** [CORE]

24. **πλαστός**  
    **Transliteration:** plastós  
    **Literal meaning / morphology:** “molded, fabricated”  
    **Typical English translations:** fake, forged, counterfeit

    **Usage:** Commonly used for forged documents, fake signatures, counterfeit goods, or fabricated evidence. It strongly marks lack of genuineness and is especially frequent in legal and everyday evaluative speech.  
    **Epistemic status:** [CORE]

25. **ψευδής**  
    **Transliteration:** psevdís  
    **Literal meaning / morphology:** “false”  
    **Typical English translations:** false, untrue

    **Usage:** A formal and widely used adjective for false statements, allegations, impressions, or indications. It is especially common in legal, academic, journalistic, and logical contexts.  
    **Epistemic status:** [CORE]

26. **ψέμα**  
    **Transliteration:** pséma  
    **Literal meaning / morphology:** “lie”  
    **Typical English translations:** lie, falsehood

    **Usage:** The ordinary everyday word for a lie or falsehood. It can refer both to a specific false statement and more generally to deception or untruth in moral and interpersonal evaluation.  
    **Epistemic status:** [CORE]

27. **ειλικρινής**  
    **Transliteration:** eilikrinís  
    **Literal meaning / morphology:** “sincere, frank”  
    **Typical English translations:** sincere, honest, candid

    **Usage:** Used mainly for persons, speech, feelings, or intentions judged to be genuine and not deceptive. It is central in moral and interpersonal evaluation rather than factual accuracy as such.  
    **Epistemic status:** [CORE]

28. **ειλικρίνεια**  
    **Transliteration:** eilikríneia  
    **Literal meaning / morphology:** from *ειλικρινής*; “sincerity”  
    **Typical English translations:** sincerity, honesty, frankness

    **Usage:** Refers to sincerity or honesty in speech, conduct, and emotional expression. It is common in everyday and ethical discourse where genuineness of intention or expression is being assessed.  
    **Epistemic status:** [CORE]

29. **κατά γράμμα**  
    **Transliteration:** katá grámma  
    **Literal meaning / morphology:** “according to the letter”  
    **Typical English translations:** literally, to the letter, verbatim

    **Usage:** A fixed expression used when something follows wording exactly or is interpreted in a strictly literal way. It is common in legal, interpretive, and everyday contexts involving exact correspondence to a text or instruction.  
    **Epistemic status:** [CORE]

30. **κατ’ ουσίαν**  
    **Transliteration:** kat’ ousían  
    **Literal meaning / morphology:** “according to essence / in essence”  
    **Typical English translations:** essentially, in substance, fundamentally

    **Usage:** A fixed expression used to indicate what something really amounts to at the substantive level, as opposed to form or appearance. It is frequent in formal speech, law, philosophy, and argumentation.  
    **Epistemic status:** [CORE]
